time,lt,rt,rb,w,x,y,z
1541856401059,0,0,0,0.117412575,-0.20011048,0.28403714,-0.9303188
1541856401078,0,0,0,0.11737363,-0.20089398,0.28469226,-0.9299545
1541856401098,0,0,0,0.11757511,-0.2014587,0.28513327,-0.92967176
1541856401117,0,0,0,0.11755518,-0.201426,0.28446338,-0.9298865
1541856401137,0,0,0,0.115405954,-0.20041172,0.28447375,-0.9303716
1541856401163,0,0,0,0.11230576,-0.19833824,0.28537366,-0.9309195
1541856401183,0,0,0,0.111326635,-0.19707423,0.285936,-0.93113303
1541856401197,0,0,0,0.11129848,-0.19673656,0.2873706,-0.9307661
1541856401217,0,0,0,0.11265118,-0.19772734,0.28988144,-0.9296142
1541856401247,0,0,0,0.11533084,-0.19968843,0.29268968,-0.92798495
1541856401265,0,0,0,0.11911957,-0.202098,0.29398724,-0.92657346
1541856401281,0,0,0,0.122372106,-0.20407513,0.2945046,-0.9255514
1541856401300,0,0,0,0.12786402,-0.2086531,0.29494387,-0.9236465
1541856401332,0,0,0,0.13464493,-0.21448183,0.29577976,-0.92107695
1541856401346,0,0,0,0.13938808,-0.2186577,0.29548752,-0.91948193
1541856401364,0,0,0,0.14638843,-0.22417007,0.2946341,-0.917338
1541856401382,0,0,0,0.15596282,-0.2349541,0.29460797,-0.9130599
1541856401399,0,0,0,0.16623606,-0.24812357,0.2947558,-0.9077
1541856401421,0,0,0,0.17397952,-0.2563841,0.29502317,-0.90385824
1541856401452,0,0,0,0.18150134,-0.26005802,0.30152664,-0.89917123
1541856401458,0,0,0,0.18686835,-0.25521228,0.31254625,-0.89569074
1541856401479,0,0,0,0.19283149,-0.249131,0.32321936,-0.89234465
1541856401498,0,0,0,0.2063441,-0.25296915,0.33239892,-0.88483876
1541856401517,0,0,0,0.22403565,-0.2617269,0.34248528,-0.8740772
1541856401546,0,0,0,0.24333893,-0.27162063,0.35205355,-0.86201316
1541856401565,0,0,0,0.25883916,-0.275795,0.36016914,-0.85277057
1541856401580,0,0,0,0.27390242,-0.27729166,0.36758962,-0.84437233
1541856401598,0,0,0,0.29676488,-0.28384143,0.376063,-0.8306271
1541856401617,0,0,0,0.32249105,-0.29039884,0.38547,-0.81429785
1541856401642,0,0,0,0.34800354,-0.29559085,0.39449587,-0.7974288
1541856401659,0,0,0,0.3775476,-0.3019339,0.39754498,-0.77990496
1541856401679,0,0,0,0.4216182,-0.32083595,0.3979233,-0.74897236
1541856401699,0,0,0,0.47036082,-0.34468302,0.39873117,-0.7077908
1541856401725,0,0,0,0.5040822,-0.35823247,0.39967293,-0.6766331
1541856401740,0,0,0,0.52106225,-0.35756162,0.40316728,-0.66189116
1541856401758,0,0,0,0.5224729,-0.33992714,0.4076209,-0.6673206
1541856401779,0,0,0,0.52269685,-0.31818944,0.41164744,-0.6753444
1541856401799,0,0,0,0.5278076,-0.29827866,0.4187223,-0.67610705
1541856401817,0,0,0,0.53556556,-0.27999076,0.4256762,-0.6734795
1541856401841,0,0,0,0.54197633,-0.26111564,0.4322139,-0.6717675
1541856401857,0,0,0,0.5488877,-0.24280675,0.43825212,-0.6691055
1541856401880,0,0,0,0.55735064,-0.22406377,0.44287094,-0.6655984
1541856401899,0,0,0,0.568548,-0.20484096,0.44809443,-0.65879035
1541856401917,0,0,0,0.58264905,-0.18914708,0.454978,-0.6463269
1541856401942,0,0,0,0.59887713,-0.18040498,0.45677456,-0.6325799
1541856401958,0,0,0,0.6103685,-0.17067735,0.46374884,-0.6190772
1541856401979,0,0,0,0.6206719,-0.15550296,0.46708712,-0.610258
1541856401997,0,0,0,0.62985724,-0.13986689,0.4658606,-0.6055501
1541856402017,0,0,0,0.6393986,-0.13347787,0.46274683,-0.59934837
1541856402044,0,0,0,0.6498638,-0.12834765,0.46435177,-0.5878618
1541856402059,0,0,0,0.65891623,-0.12421925,0.46367794,-0.5791388
1541856402078,0,0,0,0.6671649,-0.12763976,0.46067214,-0.571297
1541856402097,0,0,0,0.67546916,-0.1356114,0.45885363,-0.5610743
1541856402117,0,0,0,0.68342406,-0.14637762,0.4576918,-0.5495666
1541856402143,0,0,0,0.68957967,-0.16058394,0.4581995,-0.53735083
1541856402159,0,0,0,0.6679441,-0.24382356,0.37160322,-0.5969186
1541856402179,0,0,0,0.675004,-0.24215384,0.37084815,-0.59008706
1541856402198,0,0,0,0.6832622,-0.23686406,0.37431684,-0.5804611
1541856402218,0,0,0,0.69027674,-0.23525828,0.37540385,-0.572052
1541856402242,0,0,0,0.69534034,-0.23235416,0.36876944,-0.57142144
1541856402262,0,0,0,0.6973789,-0.2292912,0.35046324,-0.5816044
1541856402278,0,0,0,0.6987079,-0.2350203,0.33540517,-0.58658
1541856402298,0,0,0,0.69946927,-0.24670558,0.32184315,-0.5884693
1541856402318,0,0,0,0.72264767,-0.23634118,0.3780262,-0.52822286
1541856402341,0,0,0,0.7300537,-0.24046488,0.37940946,-0.5150211
1541856402362,0,0,0,0.7346518,-0.23465438,0.3694163,-0.5184165
1541856402379,0,0,0,0.73824114,-0.22714438,0.35760945,-0.5249009
1541856402399,0,0,0,0.7457199,-0.23021749,0.35760653,-0.512854
1541856402419,0,0,0,0.75350434,-0.23804359,0.35775477,-0.49757218
1541856402445,0,0,0,0.7560251,-0.2502299,0.34774864,-0.49485546
1541856402461,0,0,0,0.75602883,-0.25784647,0.33376732,-0.50053465
1541856402479,0,0,0,0.75663596,-0.26540017,0.3231011,-0.5026633
1541856402498,0,0,0,0.7578245,-0.27238798,0.3160324,-0.5016278
1541856402517,0,0,0,0.7572728,-0.2744465,0.30729896,-0.506739
1541856402543,0,0,0,0.75504595,-0.27597004,0.29822782,-0.51459336
1541856402566,0,0,0,0.74963284,-0.2740357,0.28626177,-0.5301031
1541856402582,0,0,0,0.7489427,-0.27824068,0.28111705,-0.5316391
1541856402599,0,0,0,0.7543566,-0.27755156,0.2850061,-0.52219033
1541856402618,0,0,0,0.7639321,-0.2787321,0.29239696,-0.5032099
1541856402645,0,0,0,0.77316284,-0.27636862,0.29820907,-0.486735
1541856402666,0,0,0,0.7743738,-0.27931932,0.29269224,-0.48647422
1541856402682,0,0,0,0.7726347,-0.27913022,0.28401357,-0.4944272
1541856402699,0,0,0,0.77333903,-0.28397954,0.27540797,-0.4954319
1541856402718,0,0,0,0.7632232,-0.2708152,0.26345342,-0.52415824
1541856402744,0,0,0,0.764083,-0.27879795,0.25464734,-0.5230713
1541856402760,0,0,0,0.7687739,-0.29306117,0.2468546,-0.5120202
1541856402778,0,0,0,0.7739738,-0.309127,0.23780476,-0.4988526
1541856402799,0,0,0,0.77581555,-0.31743735,0.2291553,-0.49480462
1541856402818,0,0,0,0.7747213,-0.31621295,0.22189885,-0.5005768
1541856402843,0,0,0,0.7752513,-0.31720918,0.21582018,-0.5017822
1541856402858,0,0,0,0.7768549,-0.32679304,0.2075565,-0.4966116
1541856402878,0,0,0,0.7772605,-0.3298805,0.20108919,-0.49659657
1541856402899,0,0,0,0.77609384,-0.32893336,0.19641474,-0.5009017
1541856402918,0,0,0,0.7731721,-0.32658762,0.19177437,-0.5086925
1541856402941,0,0,0,0.7729268,-0.32645735,0.18831311,-0.5104389
1541856402958,0,0,0,0.7673903,-0.33135822,0.17979917,-0.5186387
1541856402979,0,0,0,0.76278734,-0.33558092,0.17177215,-0.52539057
1541856402999,0,0,0,0.76229423,-0.33858702,0.16620186,-0.5259689
1541856403018,0,0,0,0.759813,-0.33631438,0.1627651,-0.53205675
1541856403043,0,0,0,0.75699365,-0.33181667,0.16117391,-0.5393341
1541856403062,0,0,0,0.7550929,-0.32604784,0.16075195,-0.54560643
1541856403078,0,0,0,0.75568324,-0.32749024,0.1579369,-0.5447467
1541856403099,0,0,0,0.7539312,-0.3312463,0.15389247,-0.54605925
1541856403118,0,0,0,0.7521237,-0.3353704,0.15065187,-0.5469375
1541856403141,0,0,0,0.74739593,-0.33486897,0.14967243,-0.55394965
1541856403167,0,0,0,0.74337876,-0.33638582,0.14871971,-0.55867255
1541856403180,0,0,0,0.73929197,-0.34019604,0.14704989,-0.56221914
1541856403199,0,0,0,0.73378897,-0.33890066,0.14704159,-0.5701569
1541856403219,0,0,0,0.72452176,-0.33054557,0.15011056,-0.5858965
1541856403239,0,0,0,0.72013134,-0.33187637,0.15064164,-0.59040326
1541856403260,0,0,0,0.718625,-0.34065455,0.14756534,-0.5880111
1541856403280,0,0,0,0.7144936,-0.34351617,0.14690979,-0.59153455
1541856403300,0,0,0,0.71146184,-0.3493254,0.14530963,-0.5921815
1541856403319,0,0,0,0.707797,-0.3562863,0.14272363,-0.59305435
1541856403343,0,0,0,0.69995916,-0.3589021,0.14099196,-0.60113865
1541856403360,0,0,0,0.6911407,-0.36190325,0.13934143,-0.6098643
1541856403379,0,0,0,0.6817638,-0.3644065,0.13735704,-0.6193053
1541856403401,0,0,0,0.67083144,-0.36758557,0.13500811,-0.6297927
1541856403419,0,0,0,0.6591295,-0.37247646,0.13245586,-0.63973826
1541856403447,0,0,0,0.64683354,-0.37624758,0.13058466,-0.6503782
1541856403464,0,0,0,0.6377725,-0.37801263,0.1317534,-0.6580226
1541856403481,0,0,0,0.63144577,-0.3824422,0.13234866,-0.6614363
1541856403500,0,0,0,0.621699,-0.38283193,0.13412711,-0.6700299
1541856403519,0,0,0,0.61290824,-0.38254347,0.13655396,-0.6777588
1541856403541,0,0,0,0.6026985,-0.3806809,0.13940531,-0.6873156
1541856403560,0,0,0,0.59463626,-0.38009563,0.14189632,-0.69411844
1541856403580,0,0,0,0.5869388,-0.37788492,0.14488271,-0.7012238
1541856403599,0,0,0,0.58253306,-0.3780357,0.14636968,-0.70449996
1541856403619,0,0,0,0.5798112,-0.37730467,0.14798824,-0.7067953
1541856403644,0,0,0,0.5759115,-0.37759694,0.14741996,-0.7099393
1541856403659,0,0,0,0.5752292,-0.37788466,0.14681827,-0.7104639
1541856403677,0,0,0,0.5743937,-0.3781356,0.14625195,-0.7111229
1541856403700,0,0,0,0.5736753,-0.3784416,0.14610429,-0.71157026
1541856403718,0,0,0,0.57196933,-0.37778097,0.14637345,-0.7132373
1541856403745,0,0,0,0.57345545,-0.37906328,0.14525783,-0.7115898
1541856403759,0,0,0,0.5693168,-0.3751755,0.14690278,-0.71661794
1541856403780,0,0,0,0.5691657,-0.37561816,0.14669393,-0.71654886
1541856403800,0,0,0,0.56916964,-0.37589604,0.14751455,-0.7162315
1541856403819,0,0,0,0.5691728,-0.37579352,0.14803493,-0.7161755
1541856403842,0,0,0,0.56818426,-0.37579173,0.14934696,-0.71668875
1541856403863,0,0,0,0.5680882,-0.3767899,0.15009886,-0.7160835
1541856403881,0,0,0,0.56792533,-0.37741405,0.15022813,-0.7158569
1541856403901,0,0,0,0.56756055,-0.37717357,0.15115291,-0.7160782
1541856403918,0,0,0,0.5691155,-0.37739512,0.15097135,-0.71476436
1541856403943,0,0,0,0.57033855,-0.3779502,0.15115929,-0.7134553
1541856403963,0,0,0,0.5733015,-0.3781749,0.15012147,-0.711177
1541856403981,0,0,0,0.57555765,-0.37942925,0.14960681,-0.708791
1541856404001,0,0,0,0.5776964,-0.38088617,0.14869808,-0.7064571
1541856404019,0,0,0,0.5805091,-0.38144907,0.14779684,-0.7040326
1541856404039,0,0,0,0.58311886,-0.38212815,0.14702155,-0.70166606
1541856404061,0,0,0,0.58496493,-0.38279438,0.14641245,-0.69989145
1541856404079,0,0,0,0.58684397,-0.38338786,0.14592128,-0.6980938
1541856404100,0,0,0,0.5892456,-0.38436237,0.14545152,-0.6956286
1541856404119,0,0,0,0.5906824,-0.38498497,0.14476493,-0.69420755
1541856404142,0,0,0,0.59147775,-0.38563675,0.1450721,-0.6931036
1541856404161,0,0,0,0.5930777,-0.38676015,0.1448119,-0.6911621
1541856404181,0,0,0,0.5953527,-0.38746792,0.14446165,-0.6888793
1541856404200,0,0,0,0.5972081,-0.3884907,0.14429839,-0.6867281
1541856404219,0,0,0,0.5980874,-0.38834205,0.14464366,-0.68597394
1541856404243,0,0,0,0.5979399,-0.38799456,0.14588048,-0.68603724
1541856404260,0,0,0,0.59820294,-0.38825485,0.14627099,-0.68557733
1541856404281,0,0,0,0.5987417,-0.38843164,0.14676206,-0.68490154
1541856404301,0,0,0,0.5977565,-0.38861164,0.14801025,-0.6853913
1541856404319,0,0,0,0.5974078,-0.38796452,0.14944926,-0.6857495
1541856404339,0,0,0,0.5964038,-0.38700485,0.15112694,-0.6867973
1541856404359,0,0,0,0.59541726,-0.38594326,0.1523643,-0.68797624
1541856404380,0,0,0,0.5944375,-0.38581765,0.15343897,-0.6886547
1541856404401,0,0,0,0.59577173,-0.38628793,0.15345015,-0.68723416
1541856404420,0,0,0,0.5962165,-0.38673383,0.15347077,-0.6865927
1541856404443,0,0,0,0.5975965,-0.38705838,0.15376158,-0.6851436
1541856404459,0,0,0,0.5978892,-0.38745856,0.15406182,-0.6845943
1541856404479,0,0,0,0.598114,-0.38762426,0.15483147,-0.6841304
1541856404500,0,0,0,0.5991317,-0.38825405,0.15528889,-0.6827777
1541856404519,0,0,0,0.6010696,-0.3890568,0.15482591,-0.68071955
1541856404544,0,0,0,0.60213584,-0.38949823,0.15477224,-0.679536
1541856404564,0,0,0,0.6026204,-0.38969237,0.15497051,-0.6789496
1541856404581,0,0,0,0.60225934,-0.3889578,0.15641427,-0.67936015
1541856404600,0,0,0,0.6023039,-0.38875765,0.157156,-0.6792639
1541856404620,0,0,0,0.60250264,-0.38865858,0.15749256,-0.67906636
1541856404648,0,0,0,0.60215425,-0.38865796,0.15805453,-0.6792453
1541856404661,0,0,0,0.6022659,-0.38860077,0.15842125,-0.67909354
1541856404681,0,0,0,0.6021212,-0.38833272,0.15903808,-0.6792309
1541856404700,0,0,0,0.60144,-0.3881416,0.1597637,-0.6797732
1541856404725,0,0,0,0.600538,-0.38784912,0.16065674,-0.68052673
1541856404755,0,0,0,0.59943205,-0.38752538,0.16171637,-0.68143463
1541856404759,0,0,0,0.59904134,-0.3873174,0.16232266,-0.6817522
1541856404782,0,0,0,0.5992102,-0.38748404,0.16259669,-0.68144375
1541856404802,0,0,0,0.59984285,-0.3875778,0.16259964,-0.68083286
1541856404821,0,0,0,0.6000221,-0.38759503,0.16293736,-0.6805844
1541856404844,0,0,0,0.6005824,-0.3877003,0.1629618,-0.680024
1541856404867,0,0,0,0.60081375,-0.3877853,0.16321453,-0.67971057
1541856404890,0,0,0,0.60110825,-0.387784,0.16338588,-0.6794097
1541856404908,0,0,0,0.60210955,-0.38802916,0.16312169,-0.6784459
1541856404927,0,0,0,0.60288197,-0.38820136,0.16304104,-0.6776804
1541856404941,0,0,0,0.60356945,-0.38828012,0.16303515,-0.67702436
1541856404961,0,0,0,0.60359865,-0.38835326,0.16332896,-0.67688566
1541856404981,0,0,0,0.6034751,-0.38825327,0.16367623,-0.67696923
1541856405002,0,0,0,0.60387504,-0.388352,0.16383202,-0.67651814
1541856405020,0,0,0,0.60487515,-0.3886295,0.16354038,-0.6755352
1541856405042,0,0,0,0.60586894,-0.388914,0.16325499,-0.6745492
1541856405059,0,0,0,0.60665154,-0.3889484,0.16307189,-0.67386997
1541856405082,0,0,0,0.6079743,-0.38939208,0.16269937,-0.6725102
