time,lt,rt,rb,w,x,y,z
1541858957314,0,0,0,0.900838,0.242308,-0.079393,-0.35138798
1541858957336,0,0,0,0.900861,0.24233,-0.079614,-0.351264
1541858957356,0,0,0,0.900488,0.243502,-0.080615,-0.35118103
1541858957378,0,0,0,0.900335,0.243988,-0.080693,-0.351219
1541858957399,0,0,0,0.900585,0.243587,-0.079845,-0.35105002
1541858957418,0,0,0,0.900829,0.243043,-0.079381,-0.350906
1541858957440,0,0,0,0.900853,0.243002,-0.079632,-0.35081398
1541858957462,0,0,0,0.900709,0.243415,-0.08012,-0.350789
1541858957482,0,0,0,0.900632,0.243593,-0.080516,-0.35077
1541858957504,0,0,0,0.900687,0.243658,-0.080789,-0.35052
1541858957525,0,0,0,0.900737,0.243858,-0.080977,-0.35021102
1541858957545,0,0,0,0.900927,0.244225,-0.080793,-0.34950697
1541858957567,0,0,0,0.901482,0.244536,-0.081388,-0.34771597
1541858957589,0,0,0,0.901965,0.245035,-0.082745,-0.34578896
1541858957608,0,0,0,0.901751,0.245492,-0.087558,-0.34483504
1541858957629,0,0,0,0.900321,0.246294,-0.094652,-0.34612298
1541858957652,0,0,0,0.898203,0.247668,-0.100672,-0.348934
1541858957672,0,0,0,0.896334,0.248452,-0.102559,-0.352614
1541858957692,0,0,0,0.895092,0.24871,-0.101107,-0.35599
1541858957714,0,0,0,0.894512,0.249313,-0.098808,-0.357669
1541858957734,0,0,0,0.89382,0.250544,-0.097169,-0.358984
1541858957755,0,0,0,0.892675,0.252569,-0.096942,-0.36047304
1541858957778,0,0,0,0.891215,0.254613,-0.097967,-0.36236703
1541858957801,0,0,0,0.889695,0.256187,-0.098541,-0.364828
1541858957822,0,0,0,0.888518,0.256816,-0.098529,-0.367248
1541858957845,0,0,0,0.887615,0.256793,-0.098527,-0.369444
1541858957864,0,0,0,0.886894,0.256745,-0.098036,-0.371333
1541858957890,0,0,0,0.88631,0.256786,-0.097045,-0.372957
1541858957908,0,0,0,0.886059,0.256083,-0.0972,-0.37399304
1541858957930,0,0,0,0.885917,0.254719,-0.098835,-0.37483203
1541858957948,0,0,0,0.885869,0.252162,-0.099446,-0.37651002
1541858957969,0,0,0,0.886293,0.247517,-0.099334,-0.378617
1541858957990,0,0,0,0.886731,0.243593,-0.099563,-0.380073
1541858958014,0,0,0,0.886881,0.241701,-0.099479,-0.380953
1541858958034,0,0,0,0.887257,0.239591,-0.098272,-0.38172197
1541858958051,0,0,0,0.887457,0.237,-0.09612,-0.38342
1541858958073,0,0,0,0.887307,0.235749,-0.093638,-0.385148
1541858958096,0,0,0,0.887553,0.233902,-0.090565,-0.386438
1541858958115,0,0,0,0.889189,0.224024,-0.075587,-0.391715
1541858958135,0,0,0,0.894148,0.201493,-0.039879,-0.39787996
1541858958158,0,0,0,0.899548,0.173962,-0.014332,-0.40042996
1541858958180,0,0,0,0.904658,0.151076,-0.005036,-0.39842498
1541858958196,0,0,0,0.90805,0.142437,-0.008303,-0.39380896
1541858958219,0,0,0,0.909237,0.148786,-0.010295,-0.38864303
1541858958240,0,0,0,0.908362,0.164638,-0.012325,-0.38421202
1541858958261,0,0,0,0.906093,0.184815,-0.020342,-0.380031
1541858958282,0,0,0,0.903079,0.204569,-0.02748,-0.37662
1541858958302,0,0,0,0.901484,0.210125,-0.032425,-0.376988
1541858958324,0,0,0,0.902242,0.207073,-0.029757,-0.37708402
1541858958345,0,0,0,0.903094,0.20175,-0.030405,-0.37787902
1541858958366,0,0,0,0.903031,0.198949,-0.035336,-0.37908196
1541858958385,0,0,0,0.902107,0.200123,-0.039769,-0.380225
1541858958410,0,0,0,0.900393,0.204262,-0.042529,-0.38178396
1541858958434,0,0,0,0.898563,0.208801,-0.044671,-0.383393
1541858958451,0,0,0,0.897064,0.212098,-0.047408,-0.384763
1541858958473,0,0,0,0.895573,0.214691,-0.050624,-0.386384
1541858958492,0,0,0,0.893698,0.217354,-0.053589,-0.38883
1541858958514,0,0,0,0.891715,0.220387,-0.056648,-0.39123297
1541858958534,0,0,0,0.890362,0.224055,-0.059285,-0.39183998
1541858958552,0,0,0,0.889713,0.228397,-0.060721,-0.39058602
1541858958577,0,0,0,0.888998,0.232834,-0.062259,-0.38934898
1541858958599,0,0,0,0.888506,0.236467,-0.064057,-0.38798797
1541858958616,0,0,0,0.888691,0.238543,-0.065127,-0.38611102
1541858958639,0,0,0,0.889542,0.238739,-0.064718,-0.384094
1541858958658,0,0,0,0.891167,0.236465,-0.061039,-0.38233304
1541858958682,0,0,0,0.893596,0.231762,-0.054297,-0.380557
1541858958700,0,0,0,0.896264,0.225381,-0.046676,-0.37912202
1541858958724,0,0,0,0.899048,0.218729,-0.039002,-0.377289
1541858958741,0,0,0,0.901702,0.212375,-0.03318,-0.37513697
1541858958765,0,0,0,0.903852,0.206763,-0.030356,-0.37333298
1541858958786,0,0,0,0.905126,0.203066,-0.029815,-0.37231696
1541858958806,0,0,0,0.905997,0.201223,-0.030755,-0.371122
1541858958827,0,0,0,0.906691,0.201347,-0.032939,-0.36916697
1541858958850,0,0,0,0.907154,0.202959,-0.035885,-0.36686504
1541858958867,0,0,0,0.907557,0.204645,-0.038755,-0.36463296
1541858958888,0,0,0,0.908063,0.205135,-0.04092,-0.362858
1541858958911,0,0,0,0.908647,0.204333,-0.041493,-0.361781
1541858958933,0,0,0,0.909193,0.203109,-0.041588,-0.36108696
1541858958950,0,0,0,0.90963,0.201756,-0.041883,-0.36071098
1541858958976,0,0,0,0.909866,0.200624,-0.041037,-0.36084497
1541858958996,0,0,0,0.910048,0.199467,-0.039741,-0.36117196
1541858959015,0,0,0,0.910224,0.198313,-0.038828,-0.361462
1541858959037,0,0,0,0.910456,0.197325,-0.037891,-0.361517
1541858959059,0,0,0,0.910731,0.196335,-0.037069,-0.36145103
1541858959077,0,0,0,0.910885,0.195349,-0.036599,-0.36164403
1541858959101,0,0,0,0.91092,0.194553,-0.036136,-0.36203098
1541858959119,0,0,0,0.910971,0.194076,-0.035233,-0.362247
1541858959141,0,0,0,0.911029,0.193913,-0.03431,-0.36227703
1541858959162,0,0,0,0.91108,0.193954,-0.033055,-0.36224496
1541858959182,0,0,0,0.911237,0.193939,-0.03205,-0.36194897
1541858959203,0,0,0,0.911533,0.193718,-0.031889,-0.36133397
1541858959227,0,0,0,0.911753,0.193657,-0.031857,-0.360815
1541858959247,0,0,0,0.911864,0.193715,-0.032029,-0.360488
1541858959266,0,0,0,0.911988,0.193705,-0.032715,-0.36011696
1541858959289,0,0,0,0.912136,0.193617,-0.033498,-0.35971797
1541858959309,0,0,0,0.912341,0.19351,-0.034024,-0.35920596
1541858959330,0,0,0,0.912619,0.193517,-0.034409,-0.35845804
1541858959351,0,0,0,0.912839,0.193618,-0.034808,-0.357805
1541858959370,0,0,0,0.913059,0.193606,-0.034953,-0.35723603
1541858959392,0,0,0,0.913465,0.193571,-0.034916,-0.35621798
1541858959416,0,0,0,0.913471,0.193656,-0.034643,-0.356183
