time,lt,rt,rb,x,y,z
1541858959811,0,0,0,0.19455379,1.1773062,0.80469894
1541858959829,0,0,0,1.0754678,0.39969063,0.68606186
1541858959849,0,0,0,-0.3368709,-0.24879551,-0.48293638
1541858959870,0,0,0,-0.16747868,-0.5280876,-0.9324999
1541858959890,0,0,0,0.5619494,-0.010923862,-1.1384616
1541858959909,0,0,0,0.57442045,-0.63627005,-2.6984355
1541858959930,0,0,0,-0.93100095,-0.49455118,-2.9899137
1541858959949,0,0,0,-1.0084276,0.2892871,-3.1719239
1541858959973,0,0,0,-1.5730581,0.18835068,-4.924885
1541858959997,0,0,0,-1.8409126,-0.4332919,-4.7489896
1541858960008,0,0,0,-1.404551,-1.2954297,-3.8786583
1541858960030,0,0,0,-0.28296518,-0.8175669,-2.549379
1541858960050,0,0,0,0.16112566,-0.738431,-1.4745171
1541858960077,0,0,0,-0.65306616,-1.7559872,-0.48002172
1541858960104,0,0,0,-1.9828858,-2.8507519,2.8246682
1541858960112,0,0,0,-1.248436,-2.012144,5.322591
1541858960138,0,0,0,1.733666,-0.3834319,0.97408247
1541858960163,0,0,0,-0.32206678,0.40517092,-2.1876357
1541858960175,0,0,0,-0.97697926,2.7251678,0.04639387
1541858960200,0,0,0,-1.0708094,1.5117826,-5.176343
1541858960223,0,0,0,2.042821,0.71959686,1.6621215
1541858960233,0,0,0,3.8293118,-0.6008158,5.6519074
1541858960250,0,0,0,5.8370175,-1.8617892,6.0146313
1541858960274,0,0,0,7.3509326,-0.09204483,1.1992064
1541858960290,0,0,0,5.6222787,-0.7092786,-1.3463006
1541858960310,0,0,0,4.8661237,-2.053925,-2.6470952
1541858960330,0,0,0,0.3331108,-5.147639,-1.5810957
1541858960359,0,0,0,-1.7875395,-4.990425,-0.9001398
1541858960368,0,0,0,-3.1408653,-4.98699,-3.3763247
1541858960389,0,0,0,-3.1135645,-4.812726,-3.9044063
1541858960410,0,0,0,-2.2018042,-4.148433,-1.9290788
1541858960430,0,0,0,-2.0384712,-4.171464,0.8103399
1541858960453,0,0,0,-2.1065922,-4.6906033,3.2493763
1541858960473,0,0,0,-1.602572,-4.3691072,4.966051
1541858960489,0,0,0,-2.6082482,-5.9159307,4.0339417
1541858960510,0,0,0,-0.21837902,-5.216094,1.069282
1541858960530,0,0,0,2.0728416,-3.7050858,-1.1832104
1541858960558,0,0,0,2.4686732,-7.269143,-4.412243
1541858960578,0,0,0,3.9338932,-6.540532,-4.475407
1541858960596,0,0,0,2.0957708,-6.5399485,-3.3551006
1541858960611,0,0,0,-0.3647027,-7.1661243,-3.3258703
1541858960631,0,0,0,-0.92404413,-5.7129683,-3.1188598
1541858960657,0,0,0,-7.8290143,-6.820983,5.858646
1541858960674,0,0,0,5.311271,5.140549,0.53268385
1541858960695,0,0,0,-0.11375427,-3.2048512,-0.85617256
1541858960713,0,0,0,3.0726047,-4.3378325,-2.6382973
1541858960731,0,0,0,3.3528907,-5.2051063,0.04403162
1541858960752,0,0,0,4.1530457,-1.974926,1.1759295
1541858960773,0,0,0,0.07989025,0.22077751,1.8382082
1541858960790,0,0,0,-3.5767698,1.0727038,-4.803
1541858960810,0,0,0,-1.7168941,0.4967518,0.90598726
1541858960830,0,0,0,1.1711936,-1.9031396,0.453413
1541858960856,0,0,0,2.231253,-2.7207575,0.9300728
1541858960876,0,0,0,1.5970364,-1.4657617,1.7703614
1541858960893,0,0,0,0.739727,-1.840888,2.976533
1541858960910,0,0,0,2.6657958,0.02353859,1.1623802
1541858960933,0,0,0,3.3761454,0.9708047,1.0820413
1541858960957,0,0,0,2.4375446,0.34654617,1.0774832
1541858960974,0,0,0,0.39473724,-0.53774977,-0.17233133
1541858960991,0,0,0,0.9101124,0.638886,0.024980068
1541858961011,0,0,0,1.4740276,1.5383272,0.4609952
1541858961031,0,0,0,1.3268948,1.1699104,0.419775
1541858961062,0,0,0,0.21703959,0.7462764,-1.0240626
1541858961071,0,0,0,1.7321837,-5.1196966,-3.9590495
1541858961090,0,0,0,2.4438987,-5.5477853,0.84487915
1541858961111,0,0,0,1.4302526,-1.7069359,0.25919962
1541858961131,0,0,0,0.31364942,0.44889784,-1.1611414
1541858961153,0,0,0,0.68499184,-0.49529123,0.29208708
1541858961172,0,0,0,0.9744308,-0.032817364,-0.12221146
1541858961191,0,0,0,0.5831301,-0.26254225,-0.11361122
1541858961211,0,0,0,0.42204762,-0.51219606,-0.1375494
1541858961231,0,0,0,0.09356427,-0.18312359,-0.17152596
1541858961256,0,0,0,0.85064363,0.39253855,0.12531662
1541858961271,0,0,0,0.587842,0.18208885,0.4200225
1541858961291,0,0,0,0.18016195,-0.2349205,-0.41244125
1541858961311,0,0,0,0.5612588,0.64511013,0.7262578
1541858961331,0,0,0,0.008584261,1.1904421,-0.84985876
1541858961355,0,0,0,0.7870157,-0.09279823,-1.9689527
1541858961371,0,0,0,0.7682109,0.48164225,1.3380089
1541858961392,0,0,0,0.49915695,0.22116327,1.9915738
1541858961411,0,0,0,0.6941736,-0.47996044,0.86188793
1541858961431,0,0,0,0.39297223,0.2313981,-0.41628647
1541858961461,0,0,0,0.4054196,0.10140753,-0.7088895
1541858961470,0,0,0,0.5841222,0.35703087,-0.1524682
1541858961490,0,0,0,0.5342865,0.46014404,0.76747227
1541858961511,0,0,0,0.395509,0.018855572,0.84749365
1541858961531,0,0,0,0.38396525,0.298275,0.10338545
1541858961556,0,0,0,0.38507938,0.19150972,-0.28605652
1541858961573,0,0,0,0.2624042,0.21868038,-0.00946331
1541858961590,0,0,0,0.4229746,0.27099085,0.5466027
1541858961610,0,0,0,0.34644103,0.35890532,0.2417059
1541858961631,0,0,0,0.22590399,0.16180706,0.089906216
1541858961658,0,0,0,0.22279763,0.12585258,-0.019659996
1541858961673,0,0,0,0.29933763,0.23396444,0.048683643
1541858961690,0,0,0,0.21089625,0.18577766,0.089820385
1541858961710,0,0,0,0.25141478,0.18834591,-0.016112804
1541858961732,0,0,0,0.2630682,0.25706148,-0.04462242
1541858961756,0,0,0,0.16621757,0.35089493,0.09004402
1541858961775,0,0,0,0.25014043,0.14857054,0.078794956
1541858961793,0,0,0,0.1989286,0.21140814,0.010507584
1541858961812,0,0,0,0.13111877,0.18174314,0.009580612
1541858961831,0,0,0,0.06870127,0.15897703,0.08756828
1541858961859,0,0,0,0.17203546,0.18894672,-0.019845963
1541858961875,0,0,0,0.1085701,0.21548319,-0.08265495
1541858961894,0,0,0,0.07227278,0.16552877,0.057991505
1541858961911,0,0,0,0.12825894,0.1347146,-0.089074135
1541858961931,0,0,0,0.13713026,0.19242668,-0.07229757
1541858961957,0,0,0,0.114501,0.17244911,-0.044671535
1541858961973,0,0,0,0.15939403,0.16464758,-0.099116325
1541858961991,0,0,0,0.12335491,0.19783211,-0.16115665
1541858962011,0,0,0,-1.3160706E-4,0.17513895,-0.036268234
1541858962031,0,0,0,0.1324668,0.12720346,-0.091238976
1541858962051,0,0,0,0.1238513,0.16977501,-0.21554899
1541858962071,0,0,0,0.022690535,0.13573503,-0.023447514
1541858962091,0,0,0,0.068604946,0.16373348,-0.028551579
1541858962111,0,0,0,0.1702137,0.1621399,-0.14024067
1541858962131,0,0,0,0.046429873,0.1702652,-0.12157965
1541858962156,0,0,0,0.03930688,0.09765005,0.047701836
1541858962176,0,0,0,0.14402175,0.12714767,-0.14913654
1541858962192,0,0,0,0.038127422,0.19831562,-0.06522179
1541858962211,0,0,0,0.053611994,0.13658524,-0.064229965
1541858962231,0,0,0,0.17035484,0.15444708,-0.19257164
1541858962255,0,0,0,0.053544044,0.18792963,-0.041995525
1541858962271,0,0,0,0.014403343,0.10868931,-0.004011631
1541858962293,0,0,0,0.1508317,0.10165739,-0.044130325
1541858962312,0,0,0,0.1407733,0.16542959,-0.15156364
1541858962331,0,0,0,0.025103092,0.1760087,0.05172205
1541858962355,0,0,0,0.1540513,0.12198925,-0.13572264
1541858962374,0,0,0,0.12867022,0.15337515,-0.07218599
1541858962391,0,0,0,0.05662656,0.18734789,-0.08335686
1541858962411,0,0,0,0.10801196,0.13935661,0.008038998
1541858962431,0,0,0,0.21176505,0.12637234,-0.1361475
1541858962453,0,0,0,0.014047384,0.17955494,-0.027048111
1541858962472,0,0,0,0.076882124,0.11692238,0.007320404
1541858962492,0,0,0,0.20768261,0.079391,-0.08571386
1541858962511,0,0,0,0.11514473,0.12306309,0.018378258
1541858962532,0,0,0,0.12143445,0.22027922,-0.11874628
1541858962557,0,0,0,0.16343522,0.110711575,-0.24851799
1541858962575,0,0,0,0.1065228,0.11685228,-0.114645004
1541858962591,0,0,0,0.08059788,0.15421343,0.07459974
1541858962611,0,0,0,0.19765782,0.04816246,-0.14887667
1541858962632,0,0,0,0.13478947,0.21347332,-0.17031145
1541858962656,0,0,0,0.09629774,0.19346476,0.0067300797
1541858962672,0,0,0,0.17996693,0.1754384,-0.0638752
1541858962692,0,0,0,0.21453357,0.1207242,-0.17294455
1541858962711,0,0,0,0.09474349,0.19122124,-0.03617716
1541858962732,0,0,0,0.13782883,0.10200977,0.07108736
1541858962756,0,0,0,0.23418427,0.07749224,-0.081885815
1541858962772,0,0,0,0.084468365,0.2068801,0.021893501
1541858962792,0,0,0,0.20696998,0.151052,-0.04240465
1541858962811,0,0,0,0.22796631,0.10711479,-0.1029253
1541858962832,0,0,0,0.15640998,0.21063852,-0.028381824
1541858962857,0,0,0,0.17714381,0.13441658,-0.07872009
1541858962875,0,0,0,0.25889587,0.09230471,-0.15357018
1541858962892,0,0,0,0.1270194,0.16722965,-0.10121107
1541858962912,0,0,0,0.14070845,0.14749622,-0.048517704
1541858962932,0,0,0,0.24106503,0.098469734,-0.16251135
1541858962953,0,0,0,0.17322254,0.14639425,-0.047257423
1541858962974,0,0,0,0.104249954,0.2246399,-0.08289623
1541858962992,0,0,0,0.23423004,0.06971121,-0.056167126
1541858963012,0,0,0,0.22077084,0.14540339,-0.12862206
1541858963033,0,0,0,0.114518404,0.18251276,0.059859753
1541858963057,0,0,0,0.23621058,0.11406565,-0.07735777
1541858963072,0,0,0,0.19152212,0.19241905,-0.09673977
1541858963092,0,0,0,0.15902448,0.12028217,0.03969288
1541858963112,0,0,0,0.22236514,0.121608734,-0.07295179
1541858963132,0,0,0,0.29547763,0.120948315,-0.07684946
1541858963158,0,0,0,0.16128993,0.15923929,-0.035241127
1541858963173,0,0,0,0.19764733,0.09435701,-0.0152339935
1541858963192,0,0,0,0.25642633,0.11138964,-0.11016607
1541858963212,0,0,0,0.17288637,0.20460272,-0.04069376
1541858963232,0,0,0,0.171422,0.16626024,-0.094101906
1541858963262,0,0,0,0.25772452,0.06326437,-0.070426464
1541858963275,0,0,0,0.27334595,0.15931606,-0.17123222
1541858963292,0,0,0,0.18649435,0.10711241,0.054751873
1541858963312,0,0,0,0.24842525,0.14252615,-0.11342287
1541858963333,0,0,0,0.24327207,0.1339221,-0.068127155
1541858963353,0,0,0,0.15837431,0.11771536,-0.008234978
1541858963373,0,0,0,0.23945284,0.076199055,-0.14208078
1541858963392,0,0,0,0.21276498,0.14977646,-0.057855606
1541858963412,0,0,0,0.068642616,0.1900549,-6.723404E-4
1541858963433,0,0,0,0.15658069,0.11038828,-0.03042221
1541858963455,0,0,0,0.20126057,0.1756506,-0.12864971
1541858963472,0,0,0,0.14842486,0.14600706,0.09074831
1541858963492,0,0,0,0.037688255,0.18519688,-0.06889629
1541858963512,0,0,0,0.06269288,0.21355772,-0.13929272
1541858963532,0,0,0,0.04461813,0.24241638,-0.13063002
1541858963555,0,0,0,-0.19805765,0.10954285,0.10940027
1541858963574,0,0,0,-0.29335237,0.3214593,-0.32967377
1541858963597,0,0,0,-0.3380196,0.30344677,-0.16099977
1541858963613,0,0,0,-0.43616438,0.27204704,-0.11588001
1541858963633,0,0,0,-0.65838456,0.35580683,-0.33264065
1541858963653,0,0,0,-0.70829606,0.32233763,-0.1307025
1541858963675,0,0,0,-0.71814775,0.3143921,-0.22784758
1541858963697,0,0,0,-0.7157471,0.39607143,-0.25129175
1541858963715,0,0,0,-0.880456,0.25826883,-0.16044283
1541858963733,0,0,0,-0.87658477,0.3670988,-0.21471739
1541858963756,0,0,0,-1.0111268,0.2604475,-0.13609505
1541858963773,0,0,0,-1.066242,0.42895508,-0.28981543
1541858963792,0,0,0,-0.97569466,0.36713362,-0.2712989
1541858963812,0,0,0,-1.1896751,0.3627987,-0.1811614
1541858963833,0,0,0,-1.2942019,0.30362988,-0.21929407
1541858963857,0,0,0,-1.1279585,0.36112547,-0.2931862
1541858963877,0,0,0,-1.1009133,0.32360125,-0.22471142
1541858963893,0,0,0,-0.9048128,0.34692717,-0.24294472
1541858963912,0,0,0,-0.55704,0.3364725,-0.28520107
1541858963933,0,0,0,-0.4711187,0.0042715073,-0.032631397
1541858963953,0,0,0,-0.5157769,0.16266632,-0.21604967
1541858963975,0,0,0,-0.5326562,0.2845626,-0.24338579
1541858963992,0,0,0,-0.6935761,0.097867966,-0.15285254
1541858964012,0,0,0,-0.9627025,0.30821323,-0.27312708
1541858964033,0,0,0,-1.0799615,0.32369757,-0.28900766
1541858964056,0,0,0,-1.0840704,0.35820436,-0.32943583
