time,lt,rt,rb,w,x,y,z
1541858474224,0,0,0,0.235806,0.01869,0.22796,0.94449997
1541858474246,0,0,0,0.237261,0.017458,0.227006,0.9443879
1541858474266,0,0,0,0.238839,0.017216,0.22528,0.94440794
1541858474286,0,0,0,0.238959,0.016774,0.223512,0.944806
1541858474311,0,0,0,0.237725,0.016998,0.222847,0.94527006
1541858474330,0,0,0,0.236403,0.01819,0.223445,0.945438
1541858474352,0,0,0,0.235789,0.019979,0.225748,0.94500804
1541858474374,0,0,0,0.235166,0.021358,0.228529,0.9444649
1541858474393,0,0,0,0.234853,0.024577,0.230053,0.944095
1541858474415,0,0,0,0.235153,0.029557,0.229724,0.943957
1541858474437,0,0,0,0.23539,0.034318,0.228508,0.94403195
1541858474456,0,0,0,0.235436,0.037634,0.226114,0.944471
1541858474478,0,0,0,0.23572,0.039571,0.222785,0.945112
1541858474500,0,0,0,0.236277,0.040381,0.21867,0.945899
1541858474520,0,0,0,0.23737,0.040556,0.213985,0.946689
1541858474540,0,0,0,0.238197,0.039673,0.209945,0.947423
1541858474562,0,0,0,0.238357,0.038117,0.207355,0.948017
1541858474582,0,0,0,0.237505,0.035118,0.207093,0.9484041
1541858474604,0,0,0,0.235808,0.032061,0.208252,0.948681
1541858474626,0,0,0,0.233586,0.031107,0.210554,0.948755
1541858474645,0,0,0,0.232082,0.034352,0.214017,0.94823694
1541858474666,0,0,0,0.232409,0.039953,0.218071,0.947013
1541858474689,0,0,0,0.233968,0.04499,0.221377,0.9456351
1541858474708,0,0,0,0.2349,0.048537,0.223012,0.944844
1541858474729,0,0,0,0.234613,0.050214,0.223299,0.9447601
1541858474756,0,0,0,0.233978,0.050234,0.222475,0.94511104
1541858474774,0,0,0,0.234268,0.050252,0.221384,0.945294
1541858474794,0,0,0,0.235495,0.05091,0.22068,0.945119
1541858474822,0,0,0,0.237119,0.051619,0.220949,0.9446111
1541858474838,0,0,0,0.238652,0.052517,0.222034,0.9439211
1541858474858,0,0,0,0.239783,0.053946,0.223797,0.94313693
1541858474882,0,0,0,0.240788,0.05537,0.226138,0.94224
1541858474902,0,0,0,0.241817,0.056402,0.228461,0.94135404
1541858474920,0,0,0,0.242948,0.056972,0.229977,0.94065905
1541858474945,0,0,0,0.244009,0.056912,0.230891,0.9401641
1541858474963,0,0,0,0.245178,0.056037,0.23125,0.939824
1541858474998,0,0,0,0.246154,0.054793,0.231748,0.93952
1541858475021,0,0,0,0.247038,0.05427,0.232632,0.9391
1541858475026,0,0,0,0.248464,0.054568,0.232854,0.9386511
1541858475051,0,0,0,0.249324,0.053115,0.232682,0.93854904
1541858475077,0,0,0,0.249532,0.05097,0.230866,0.9390609
1541858475095,0,0,0,0.250833,0.049366,0.226894,0.9397681
1541858475112,0,0,0,0.253121,0.048478,0.222369,0.940282
1541858475135,0,0,0,0.255249,0.048206,0.218502,0.940627
1541858475153,0,0,0,0.25617,0.048624,0.21678,0.94075394
1541858475172,0,0,0,0.256284,0.050068,0.21667,0.9406719
1541858475198,0,0,0,0.256791,0.053169,0.216717,0.9403529
1541858475216,0,0,0,0.257357,0.054671,0.216818,0.940089
1541858475238,0,0,0,0.257537,0.05599,0.215815,0.94019294
1541858475258,0,0,0,0.257426,0.05626,0.213719,0.940686
1541858475281,0,0,0,0.257808,0.056329,0.211172,0.941152
