time,lt,rt,rb,x,y,z
1541856401054,0,0,0,-0.043066,-0.06688975,-0.043066
1541856401072,0,0,0,-0.022296581,-0.02687807,-0.07269296
1541856401092,0,0,0,0.1020145,0.023518313,-0.07971791
1541856401112,0,0,0,0.09987647,0.047647487,-0.03176499
1541856401132,0,0,0,0.05131268,0.13744467,-0.007330383
1541856401155,0,0,0,0.043676864,0.12186762,-0.019547688
1541856401178,0,0,0,-0.07880162,0.070249505,-0.02076942
1541856401192,0,0,0,-0.25137106,-0.035430185,0.039095376
1541856401213,0,0,0,-0.3277292,-0.06963864,0.04337143
1541856401240,0,0,0,-0.18081611,-0.09682214,0.01985312
1541856401258,0,0,0,-0.103847094,-0.058643065,-0.0421497
1541856401273,0,0,0,-0.16065755,-0.25503623,-0.06505715
1541856401296,0,0,0,-0.19730948,-0.30604348,-0.05467244
1541856401323,0,0,0,-0.024129177,-0.22510384,-0.0729984
1541856401334,0,0,0,-0.09407325,-0.41874814,0.022296581
1541856401357,0,0,0,-0.29779682,-0.98990715,0.079107046
1541856401377,0,0,0,-0.24281894,-1.2932017,0.13530666
1541856401392,0,0,0,-0.07452556,-0.9407325,0.31795537
1541856401416,0,0,0,-0.5934556,-0.34269542,0.58368176
1541856401445,0,0,0,-0.9056077,0.6948592,0.70707655
1541856401454,0,0,0,-0.97219205,0.9465357,0.6273586
1541856401472,0,0,0,-1.2495248,0.07574729,0.5580254
1541856401493,0,0,0,-1.5393804,-0.2452624,0.4541783
1541856401513,0,0,0,-1.5439619,-0.12705997,0.35155296
1541856401539,0,0,0,-1.1148291,0.19792034,0.5213735
1541856401559,0,0,0,-0.9236283,0.1572978,0.915687
1541856401573,0,0,0,-1.2886202,-0.13439035,1.2834278
1541856401593,0,0,0,-1.3249667,0.058643065,1.3878858
1541856401613,0,0,0,-0.9392053,0.3100141,1.2574661
1541856401637,0,0,0,-0.70616025,0.38026363,1.0845913
1541856401654,0,0,0,-1.8267925,0.4092797,1.2388347
1541856401673,0,0,0,-2.4324653,0.464563,1.700038
1541856401695,0,0,0,-1.3674219,-0.2602286,1.8365663
1541856401720,0,0,0,-0.18295415,-0.6618725,1.6823229
1541856401734,0,0,0,1.0937542,-0.4813618,1.4080443
1541856401754,0,0,0,1.2730432,-0.24220806,1.6145169
1541856401773,0,0,0,0.7883216,-0.1591304,2.1365013
1541856401794,0,0,0,0.60994893,-0.15790866,2.2586741
1541856401814,0,0,0,0.64934975,-0.22540927,2.1679606
1541856401836,0,0,0,0.64660084,-0.21074851,2.133447
1541856401853,0,0,0,0.68233645,-0.08307768,2.2870796
1541856401873,0,0,0,0.3817908,0.005497787,2.7418687
1541856401894,0,0,0,-0.17165314,-0.27855456,3.0723467
1541856401913,0,0,0,-0.5027421,-0.4596761,2.7574458
1541856401936,0,0,0,-0.33444872,0.20250183,2.2617285
1541856401953,0,0,0,0.57543504,0.7254025,1.87444
1541856401973,0,0,0,0.92485,0.34880406,1.6508633
1541856401993,0,0,0,0.38056904,-0.36071593,1.3222178
1541856402013,0,0,0,0.4642576,0.850019,0.9266826
1541856402037,0,0,0,0.6420194,0.66920286,0.5900958
1541856402055,0,0,0,0.28588495,0.0290161,0.11881329
1541856402073,0,0,0,0.15210545,0.32528573,-0.4578435
1541856402093,0,0,0,-0.03023783,0.24923302,-0.89858276
1541856402113,0,0,0,-0.36835176,0.45173484,-0.8213083
1541856402137,0,0,0,0.6817256,0.7675522,0.9315695
1541856402154,0,0,0,0.010995574,-0.97127575,0.7974846
1541856402173,0,0,0,0.04886922,0.09590584,0.22632557
1541856402194,0,0,0,0.46700647,-0.18661933,0.22204952
1541856402213,0,0,0,0.40958515,-0.34788775,-0.018020526
1541856402236,0,0,0,0.12950343,-0.36682457,-0.27397305
1541856402257,0,0,0,-0.03176499,-0.96974856,-0.5299256
1541856402274,0,0,0,0.17531833,-1.3014483,-1.1820242
1541856402294,0,0,0,0.5360342,-0.88697636,-2.051591
1541856402314,0,0,0,0.945314,0.020463986,-1.2403619
1541856402336,0,0,0,0.22510384,-0.52626044,-0.7315111
1541856402356,0,0,0,0.22235495,-0.33475417,-0.6200282
1541856402374,0,0,0,0.23976462,-0.8396343,-0.57971114
1541856402395,0,0,0,0.3118467,-0.20189096,-0.7104363
1541856402414,0,0,0,0.13347405,0.4728097,-0.8542951
1541856402439,0,0,0,-0.115453534,0.048258353,-0.7147123
1541856402455,0,0,0,-0.19120082,-0.39064834,-0.63255095
1541856402474,0,0,0,-0.009162978,-0.3231477,-0.75655663
1541856402494,0,0,0,0.2919936,0.108123146,-1.0033462
1541856402514,0,0,0,0.40775254,0.548557,-1.097114
1541856402537,0,0,0,0.4184427,0.30940324,-1.2651019
1541856402562,0,0,0,0.43463063,0.06047566,-1.493871
1541856402578,0,0,0,0.63163465,-0.09773844,-2.058005
1541856402594,0,0,0,0.61361414,-0.0143553335,-2.257758
1541856402614,0,0,0,0.36835176,0.27550024,-1.7379116
1541856402639,0,0,0,0.002443461,0.47403142,-1.1533136
1541856402661,0,0,0,-0.20922135,-0.06047566,-0.46639562
1541856402677,0,0,0,-0.17501289,-0.80848014,-0.20280726
1541856402694,0,0,0,-0.029626964,-0.54458636,-0.29810223
1541856402714,0,0,0,0.16493362,-0.28099802,-0.464563
1541856402739,0,0,0,0.16218472,-1.2156218,-0.48899764
1541856402756,0,0,0,0.21105394,-1.4434745,-0.4202753
1541856402774,0,0,0,0.19486602,-1.1432343,-0.3213151
1541856402794,0,0,0,0.12492194,-0.6939429,-0.18692477
1541856402814,0,0,0,0.06352998,-0.08277224,-0.12034045
1541856402838,0,0,0,0.089491755,-0.09743301,-0.19181168
1541856402854,0,0,0,-0.04184427,-0.13622294,-0.4025602
1541856402874,0,0,0,-0.07880162,0.11178834,-0.28496864
1541856402894,0,0,0,-0.056199603,-0.18967366,-0.06963864
