time,lt,rt,rb,w,x,y,z
1541857612296,0,0,0,0.9003053,0.3212984,0.16398777,0.2435689
1541857612319,0,0,0,0.90193105,0.31645185,0.16558124,0.24281967
1541857612341,0,0,0,0.9038069,0.31196064,0.16184139,0.244174
1541857612358,0,0,0,0.9047615,0.30978698,0.15715335,0.24645817
1541857612386,0,0,0,0.90475446,0.30974513,0.15545914,0.2476083
1541857612401,0,0,0,0.9038841,0.3115549,0.15740037,0.24728966
1541857612421,0,0,0,0.90279603,0.31382054,0.16180587,0.2455504
1541857612439,0,0,0,0.9023025,0.31451595,0.16787045,0.24238312
1541857612466,0,0,0,0.9028802,0.31223387,0.17362103,0.23910892
1541857612479,0,0,0,0.9047631,0.30702603,0.17729495,0.23601973
1541857612497,0,0,0,0.9070891,0.3013287,0.1784837,0.23352528
1541857612523,0,0,0,0.90880364,0.29761553,0.17868537,0.23145747
1541857612538,0,0,0,0.90922093,0.29742822,0.17871228,0.23003411
1541857612557,0,0,0,0.9086369,0.29999992,0.1797584,0.2281797
1541857612585,0,0,0,0.9080658,0.30227956,0.18244258,0.22529614
1541857612605,0,0,0,0.9079851,0.30295113,0.18556875,0.22214437
1541857612619,0,0,0,0.9083979,0.30198207,0.188489,0.21929896
1541857612638,0,0,0,0.9087444,0.30065912,0.19276147,0.2159419
1541857612668,0,0,0,0.908342,0.29993522,0.19980285,0.21220863
1541857612692,0,0,0,0.9079911,0.29906827,0.20785682,0.20713758
1541857612697,0,0,0,0.9084469,0.29656377,0.21435502,0.20205474
1541857612719,0,0,0,0.9095175,0.2923208,0.22090265,0.1962868
1541857612738,0,0,0,0.910127,0.28882164,0.22888106,0.1893791
1541857612772,0,0,0,0.90899974,0.28835228,0.24071305,0.18063688
1541857612788,0,0,0,0.90754586,0.28781578,0.25438538,0.16973734
1541857612796,0,0,0,0.9069543,0.28342235,0.26938075,0.1566515
1541857612820,0,0,0,0.90712947,0.2736109,0.28771594,0.1395452
1541857612840,0,0,0,0.90818954,0.25999454,0.30452377,0.121901155
1541857612866,0,0,0,0.9095883,0.24239798,0.32181853,0.10161257
1541857612880,0,0,0,0.90939724,0.22205094,0.34296334,0.077886224
1541857612899,0,0,0,0.9069934,0.20328549,0.36520725,0.051591873
1541857612920,0,0,0,0.9023568,0.18712229,0.38743922,0.025066257
1541857612938,0,0,0,0.8965984,0.17200524,0.4080737,-0.0012204647
1541857612974,0,0,0,0.888827,0.15775138,0.42926133,-0.028909802
1541857612978,0,0,0,0.8789451,0.14378007,0.4508983,-0.058935523
1541857613002,0,0,0,0.868658,0.12848489,0.47005102,-0.089313745
1541857613021,0,0,0,0.85713667,0.1132103,0.4879207,-0.1201393
1541857613038,0,0,0,0.8440185,0.09885583,0.5048723,-0.15153944
1541857613068,0,0,0,0.8300308,0.08459185,0.52035517,-0.18199909
1541857613086,0,0,0,0.81476164,0.073403195,0.53508085,-0.21086472
1541857613103,0,0,0,0.7960794,0.063317925,0.55152744,-0.24096882
1541857613120,0,0,0,0.77471393,0.054435022,0.5679218,-0.27261674
1541857613138,0,0,0,0.7522509,0.04159767,0.5809669,-0.30800307
1541857613163,0,0,0,0.72798824,0.02476867,0.59300715,-0.34316492
1541857613186,0,0,0,0.7066704,0.0024627142,0.5997225,-0.37542498
1541857613213,0,0,0,0.68816084,-0.014505837,0.59826297,-0.41025078
1541857613218,0,0,0,0.79102814,0.02109981,0.5450077,-0.27712065
1541857613242,0,0,0,0.7942999,0.004988481,0.5361973,-0.28557873
1541857613259,0,0,0,0.78832155,-0.01326697,0.53400767,-0.3053013
1541857613285,0,0,0,0.7762907,-0.02230549,0.53956515,-0.3251841
1541857613301,0,0,0,0.76258916,-0.028677952,0.54617286,-0.34544253
1541857613324,0,0,0,0.74763656,-0.032448668,0.5540271,-0.36474735
1541857613346,0,0,0,0.7427898,-0.036417894,0.55379534,-0.37449676
1541857613366,0,0,0,0.7387621,-0.04850863,0.5479502,-0.3893944
1541857613381,0,0,0,0.74041027,-0.069055125,0.5327372,-0.40399885
1541857613402,0,0,0,0.75027144,-0.087434135,0.51286197,-0.40794688
1541857613420,0,0,0,0.7172753,-0.08312531,0.5362167,-0.43712473
1541857613438,0,0,0,0.7001559,-0.0820189,0.5474795,-0.45091105
1541857613463,0,0,0,0.69951093,-0.088907756,0.54366946,-0.45519602
1541857613486,0,0,0,0.69983435,-0.09623121,0.53932726,-0.458364
1541857613499,0,0,0,0.6959834,-0.10438304,0.5377,-0.4643166
1541857613520,0,0,0,0.6849422,-0.11401132,0.54028696,-0.47533745
1541857613539,0,0,0,0.6828982,-0.12566485,0.5369875,-0.47906458
1541857613563,0,0,0,0.6834543,-0.13957073,0.53127474,-0.48078835
1541857613581,0,0,0,0.6816441,-0.15653679,0.52535796,-0.4846201
1541857613599,0,0,0,0.6867777,-0.17597832,0.51324856,-0.48367745
1541857613619,0,0,0,0.7015058,-0.19112052,0.4984484,-0.47213537
1541857613639,0,0,0,0.70615786,-0.19955005,0.49519315,-0.46508563
