time,lt,rt,rb,x,y,z
1541858474224,0,0,0,0.87806565,1.389029,-0.99439716
1541858474247,0,0,0,0.9029924,1.4124002,-1.0037832
1541858474267,0,0,0,0.9064086,1.4448752,-1.0192595
1541858474287,0,0,0,0.90670884,1.4779105,-1.0351171
1541858474312,0,0,0,0.89389306,1.487567,-1.0407906
1541858474330,0,0,0,0.8687282,1.4706573,-1.0347338
1541858474352,0,0,0,0.8436825,1.421802,-1.0131035
1541858474374,0,0,0,0.8284193,1.3665748,-0.9872074
1541858474394,0,0,0,0.7745855,1.3253169,-0.9705992
1541858474416,0,0,0,0.68228805,1.3089175,-0.9682789
1541858474438,0,0,0,0.58954555,1.3089771,-0.9732437
1541858474457,0,0,0,0.5169755,1.3360133,-0.9899101
1541858474478,0,0,0,0.4664653,1.3857145,-1.0162868
1541858474501,0,0,0,0.4341914,1.454432,-1.0506458
1541858474520,0,0,0,0.41319254,1.5363531,-1.0901241
1541858474540,0,0,0,0.41361332,1.6118116,-1.1251049
1541858474563,0,0,0,0.43063372,1.6646733,-1.1486778
1541858474582,0,0,0,0.4814443,1.6825795,-1.1551142
1541858474605,0,0,0,0.5366019,1.6751971,-1.1497002
1541858474626,0,0,0,0.5557782,1.6378264,-1.1319742
1541858474646,0,0,0,0.50529575,1.561707,-1.0989704
1541858474666,0,0,0,0.42193907,1.4657946,-1.0564508
1541858474689,0,0,0,0.3514365,1.3860359,-1.0195646
1541858474709,0,0,0,0.29798254,1.3420072,-0.9988079
1541858474730,0,0,0,0.26705322,1.3296132,-0.9930477
1541858474757,0,0,0,0.2597744,1.343884,-1.0002127
1541858474775,0,0,0,0.25551277,1.3629441,-1.009675
1541858474798,0,0,0,0.24556407,1.3725052,-1.0144739
1541858474824,0,0,0,0.24121583,1.3648019,-1.0107174
1541858474840,0,0,0,0.23701134,1.341949,-0.9994564
1541858474860,0,0,0,0.22460173,1.3048663,-0.9810562
1541858474884,0,0,0,0.21470183,1.2577524,-0.957345
1541858474904,0,0,0,0.2121916,1.2127805,-0.93437004
1541858474923,0,0,0,0.21473588,1.183958,-0.91947174
1541858474948,0,0,0,0.22555538,1.1684384,-0.9113436
1541858474967,0,0,0,0.24908407,1.1662636,-0.9100275
1541858475001,0,0,0,0.27917242,1.1633987,-0.9082098
1541858475023,0,0,0,0.2975581,1.1506095,-0.9012766
1541858475029,0,0,0,0.30013812,1.1456013,-0.8986149
1541858475053,0,0,0,0.33008075,1.1554179,-0.90325356
1541858475081,0,0,0,0.36111563,1.1968102,-0.9241438
1541858475097,0,0,0,0.37632376,1.2734103,-0.9629612
1541858475116,0,0,0,0.37991995,1.3567672,-1.0045366
1541858475137,0,0,0,0.3745318,1.4259424,-1.0384912
1541858475155,0,0,0,0.3619942,1.4541998,-1.0523977
1541858475174,0,0,0,0.33536285,1.4492111,-1.0505381
1541858475200,0,0,0,0.2808743,1.4335837,-1.0438604
1541858475218,0,0,0,0.25637102,1.4246721,-1.0398245
1541858475239,0,0,0,0.22763583,1.4358697,-1.0454721
1541858475259,0,0,0,0.2110604,1.4712129,-1.0625353
1541858475284,0,0,0,0.19799502,1.5155044,-1.0836086
1541858475305,0,0,0,0.1721121,1.5503473,-1.1000004
1541858475323,0,0,0,0.1603497,1.574677,-1.1113119
1541858475343,0,0,0,0.17356406,1.5875692,-1.117281
1541858475366,0,0,0,0.19148272,1.574625,-1.1112671
