time,lt,rt,rb,x,y,z
1541857612294,0,0,0,-0.6863487,0.6980257,0.63232565
1541857612315,0,0,0,0.52390623,-0.0033202171,0.83521175
1541857612337,0,0,0,0.7962395,-0.07176924,1.0701952
1541857612355,0,0,0,0.56973404,0.079885006,0.8128042
1541857612379,0,0,0,0.40813887,-0.08328724,0.18203449
1541857612396,0,0,0,0.50019705,-0.11955929,-0.8189359
1541857612417,0,0,0,0.53807765,-0.15639305,-1.1341491
1541857612435,0,0,0,0.30931342,-0.32163143,-1.1859031
1541857612462,0,0,0,0.005272627,-0.39204407,-0.14846897
1541857612476,0,0,0,-0.23026407,-0.3558774,0.81628513
1541857612495,0,0,0,-0.5516919,0.039803505,1.3372769
1541857612519,0,0,0,-0.015523672,0.2566929,0.57935333
1541857612534,0,0,0,0.41295898,-0.065146446,-0.019321442
1541857612555,0,0,0,0.58486056,0.22898579,-0.15467167
1541857612581,0,0,0,0.38694227,0.48678303,0.19486284
1541857612600,0,0,0,-0.81435895,0.40835762,0.66337395
1541857612615,0,0,0,-1.8114605,0.43147945,0.66423225
1541857612635,0,0,0,-2.4275727,0.7865348,0.19713783
1541857612664,0,0,0,-2.8479602,0.62388325,-0.5721235
1541857612689,0,0,0,-3.0119927,0.41224575,-1.184061
1541857612695,0,0,0,-2.2585256,0.22959995,-0.370265
1541857612716,0,0,0,-1.4963253,-0.99823666,-0.57818365
1541857612735,0,0,0,-0.65615535,-1.6236057,-0.9324436
1541857612765,0,0,0,-0.29264188,0.442482,-2.247117
1541857612786,0,0,0,1.990046,0.90787315,-3.333982
1541857612794,0,0,0,0.53676677,-0.253335,-3.812824
1541857612817,0,0,0,1.291296,-0.22949028,-2.8289332
1541857612836,0,0,0,0.2954297,-0.40967035,-1.2823515
1541857612861,0,0,0,1.5732446,1.2568369,-0.7163377
1541857612876,0,0,0,-0.78278255,-1.2690318,-1.9425869
1541857612896,0,0,0,1.2116671,-0.65475464,-2.1005282
1541857612916,0,0,0,1.8404446,-0.53683424,-1.7455416
1541857612935,0,0,0,2.5194826,-0.80156004,-2.5627697
1541857612968,0,0,0,2.9509983,-0.99763143,-2.0515785
1541857612976,0,0,0,2.9799175,-1.0454043,-1.1973624
1541857612997,0,0,0,3.5680585,-0.95575446,-0.37214184
1541857613018,0,0,0,4.295476,-0.477364,1.0396523
1541857613036,0,0,0,4.2915096,-0.28440365,2.291812
1541857613063,0,0,0,4.1429954,-1.5499177,2.3372235
1541857613081,0,0,0,3.5260324,-1.236623,2.2339373
1541857613098,0,0,0,2.2055407,-1.928484,1.5356159
1541857613116,0,0,0,3.9804912,1.6394541,1.5308735
1541857613136,0,0,0,-0.36008835,-3.4237044,6.2621965
1541857613159,0,0,0,-2.2074795,-1.7795467,2.7599483
1541857613183,0,0,0,-4.8526764,-2.202302,-4.527932
1541857613207,0,0,0,-7.3538327,-3.438511,-7.437791
1541857613215,0,0,0,-2.890194,-2.6479173,-2.6464572
1541857613239,0,0,0,-1.5178471,-2.9613702,3.2489045
1541857613256,0,0,0,-1.305296,-4.930536,1.5444937
1541857613280,0,0,0,0.8079667,-3.1863883,-1.5732017
1541857613296,0,0,0,0.9782467,-2.784464,-1.749505
1541857613321,0,0,0,-2.1368294,-4.0135126,-0.53345037
1541857613343,0,0,0,2.096065,-0.6396203,-0.9373772
1541857613363,0,0,0,-0.37749672,-4.074835,1.6837478
1541857613377,0,0,0,3.6375961,-2.8934336,2.1244607
1541857613397,0,0,0,4.5089364,-0.14767218,2.022262
1541857613417,0,0,0,0.7549257,-2.4918575,-4.9137216
1541857613436,0,0,0,-2.908463,-4.227882,-0.5444639
1541857613458,0,0,0,0.32037973,-1.5345526,0.93843126
1541857613481,0,0,0,0.57755804,-1.2281942,0.7240839
1541857613496,0,0,0,-0.41039753,-2.8569775,0.8458228
1541857613517,0,0,0,0.60559225,-3.4528537,-0.39019418
1541857613537,0,0,0,0.89312935,-2.319549,0.49782848
1541857613559,0,0,0,1.5755334,-1.7223926,0.55786014
1541857613578,0,0,0,2.9986093,-1.3016405,-0.13703704
1541857613596,0,0,0,3.3307998,-0.4723277,0.6604543
1541857613616,0,0,0,1.148299,-0.15227604,1.8742986
1541857613636,0,0,0,0.5712962,0.09701204,-0.25614762
1541857613662,0,0,0,-0.3200183,0.008260727,0.5999665
1541857613678,0,0,0,1.9678819,-0.55854225,-0.022391796
1541857613696,0,0,0,1.8267682,-0.42175007,-0.15329885
