time,lt,rt,rb,w,x,y,z
1541858476602,0,0,0,0.9018747,0.3181645,0.132392,0.26051044
1541858476620,0,0,0,0.9013411,0.3189049,0.13475108,0.26024246
1541858476637,0,0,0,0.9012277,0.31846738,0.13566095,0.26069784
1541858476654,0,0,0,0.9010018,0.31840235,0.13829234,0.26017487
1541858476674,0,0,0,0.9004443,0.31914532,0.14059593,0.25995982
1541858476695,0,0,0,0.8998232,0.31990424,0.14228322,0.26025963
1541858476714,0,0,0,0.8995083,0.3200742,0.14415596,0.26010847
1541858476735,0,0,0,0.89944005,0.31997973,0.14576297,0.25956464
1541858476760,0,0,0,0.899206,0.32003316,0.1471673,0.2595172
1541858476776,0,0,0,0.8983528,0.32134625,0.1499414,0.25926137
1541858476796,0,0,0,0.8973483,0.32310778,0.15459687,0.25781274
1541858476816,0,0,0,0.89655316,0.32323143,0.16067994,0.25670207
1541858476847,0,0,0,0.89664435,0.3208181,0.16792266,0.25476766
1541858476860,0,0,0,0.8955252,0.32168338,0.17338738,0.2539513
1541858476878,0,0,0,0.89217097,0.32865462,0.17420426,0.25626147
1541858476898,0,0,0,0.887918,0.33697683,0.17785737,0.25771105
1541858476917,0,0,0,0.8837491,0.34288555,0.19084783,0.25493956
1541858476939,0,0,0,0.879892,0.3460426,0.20681913,0.25153625
1541858476958,0,0,0,0.87362945,0.3537118,0.22103092,0.25060916
1541858476978,0,0,0,0.86104864,0.37337664,0.23839726,0.24970365
1541858477002,0,0,0,0.8428444,0.39883494,0.2644736,0.24616611
1541858477015,0,0,0,0.82985616,0.42607796,0.28330895,0.22255874
1541858477035,0,0,0,0.812028,0.4313196,0.31196752,0.23927021
1541858477062,0,0,0,0.80699223,0.4344553,0.31963462,0.24051142
1541858477078,0,0,0,0.8111711,0.42421958,0.32282886,0.24045932
1541858477097,0,0,0,0.81364334,0.41264457,0.33630118,0.2336886
1541858477117,0,0,0,0.81750995,0.40078738,0.34566125,0.22707963
1541858477140,0,0,0,0.8259538,0.384231,0.3474107,0.22242475
1541858477157,0,0,0,0.83826894,0.362544,0.34469864,0.21691
1541858477180,0,0,0,0.8485996,0.34278288,0.34396496,0.20992088
1541858477198,0,0,0,0.8535654,0.32941228,0.35035187,0.20041752
1541858477216,0,0,0,0.85437864,0.31996134,0.36346605,0.18855858
1541858477235,0,0,0,0.8544416,0.30978,0.37820503,0.17586017
1541858477257,0,0,0,0.8541461,0.29826584,0.3939395,0.16212225
1541858477275,0,0,0,0.8531712,0.2821304,0.41425994,0.14453375
1541858477296,0,0,0,0.85145026,0.26009825,0.4389675,0.12119746
1541858477317,0,0,0,0.8491721,0.23417254,0.46346617,0.09627557
1541858477346,0,0,0,0.84979546,0.20531818,0.47999373,0.07278848
1541858477362,0,0,0,0.853081,0.17247306,0.48979384,0.051066875
1541858477376,0,0,0,0.8593604,0.13395147,0.49257335,0.03046751
1541858477395,0,0,0,0.8626058,0.09308785,0.4971937,0.0066565275
1541858477417,0,0,0,0.8627136,0.05826675,0.50191545,-0.020277798
1541858477439,0,0,0,0.85635245,0.035777297,0.51224226,-0.054667354
1541858477456,0,0,0,0.84974825,0.018256897,0.51945263,-0.08811104
1541858477474,0,0,0,0.8453145,0.0013568564,0.5211115,-0.11783171
1541858477499,0,0,0,0.8432736,-0.017460452,0.5178699,-0.14281303
1541858477521,0,0,0,0.83750963,-0.034255113,0.51729393,-0.1726594
1541858477542,0,0,0,0.8207168,-0.041613027,0.5259178,-0.21932328
1541858477561,0,0,0,0.79604083,-0.040502805,0.5367041,-0.27681637
1541858477577,0,0,0,0.7636489,-0.033765957,0.5488764,-0.33828235
1541858477596,0,0,0,0.7265434,-0.025179183,0.56078047,-0.39626515
1541858477616,0,0,0,0.6897925,-0.012351528,0.568103,-0.44865656
1541858477640,0,0,0,0.65060264,0.002287773,0.57384545,-0.4974056
1541858477661,0,0,0,0.6061998,0.019279744,0.5782678,-0.5456707
1541858477677,0,0,0,0.55295163,0.04000505,0.57944614,-0.59739965
1541858477696,0,0,0,0.47891098,0.07338543,0.5817805,-0.6532919
1541858477715,0,0,0,0.399863,0.10950166,0.5796799,-0.7014915
1541858477739,0,0,0,0.319456,0.14379174,0.5690137,-0.74397254
1541858477758,0,0,0,0.23319185,0.1795391,0.55208695,-0.7801201
1541858477780,0,0,0,0.14194888,0.21449918,0.52829146,-0.8091655
1541858477798,0,0,0,0.77903503,-0.121771485,0.48776233,-0.3746519
1541858477816,0,0,0,0.72231096,-0.09076861,0.51024175,-0.4579097
1541858477835,0,0,0,0.68051165,-0.07390619,0.51730895,-0.51364696
1541858477859,0,0,0,0.6272968,-0.044701576,0.52839416,-0.5703508
1541858477876,0,0,0,0.61483586,-0.045298122,0.52766293,-0.5843773
1541858477897,0,0,0,0.62089586,-0.058856122,0.5240062,-0.58003604
1541858477917,0,0,0,0.64747894,-0.088433854,0.5152142,-0.55453116
1541858477935,0,0,0,0.680552,-0.12794705,0.5024474,-0.5177114
1541858477958,0,0,0,0.7344897,-0.19050315,0.47730497,-0.44318557
1541858477979,0,0,0,0.8164974,-0.29252627,0.41363168,-0.2768922
1541858477997,0,0,0,0.85688865,-0.36903483,0.34030285,-0.11725658
1541858478017,0,0,0,0.86727685,-0.41495988,0.27499807,0.0039043427
1541858478050,0,0,0,0.86310744,-0.44194132,0.2332664,0.072939634
1541858478075,0,0,0,0.85382277,-0.4638144,0.17151092,0.16262484
1541858478081,0,0,0,0.8528702,-0.46204582,0.14574634,0.19463825
1541858478101,0,0,0,0.846386,-0.46769977,0.11937372,0.2250278
1541858478115,0,0,0,0.8393184,-0.47423005,0.09969565,0.24639666
1541858478135,0,0,0,0.8331428,-0.4780007,0.08057926,0.26626182
1541858478159,0,0,0,0.82854253,-0.47968563,0.06652518,0.2810576
1541858478181,0,0,0,0.81800187,-0.48394334,0.04496763,0.307652
1541858478196,0,0,0,0.8030115,-0.48904392,0.017970474,0.34012604
1541858478217,0,0,0,0.79109883,-0.49057442,-0.002224227,0.36536896
1541858478241,0,0,0,0.76501524,-0.4956162,-0.037117004,0.409559
1541858478258,0,0,0,0.7401079,-0.49532667,-0.070221946,0.44940042
1541858478280,0,0,0,0.723996,-0.49320295,-0.09013303,0.4737687
1541858478296,0,0,0,0.7011005,-0.49338222,-0.11153941,0.5025842
1541858478315,0,0,0,0.7069709,-0.4894395,-0.11105245,0.49830568
1541858478342,0,0,0,0.6922753,-0.4891741,-0.12828365,0.51478815
1541858478356,0,0,0,0.71091586,-0.4886374,-0.11324198,0.49295878
1541858478377,0,0,0,0.72992074,-0.4884308,-0.09691453,0.46825063
1541858478397,0,0,0,0.7462885,-0.48762912,-0.08264097,0.44546807
1541858478417,0,0,0,0.757527,-0.48885253,-0.07240303,0.42653704
1541858478437,0,0,0,0.76675284,-0.48917916,-0.06565363,0.41046727
1541858478461,0,0,0,0.77515846,-0.49014804,-0.0582934,0.39431727
1541858478476,0,0,0,0.7947705,-0.48307487,-0.040378526,0.3651687
1541858478497,0,0,0,0.81344306,-0.47431833,-0.023283131,0.33584285
1541858478517,0,0,0,0.8268034,-0.46686485,-0.011488886,0.31353045
1541858478536,0,0,0,0.8335393,-0.46343762,-0.0060458705,0.30066812
1541858478566,0,0,0,0.8372561,-0.46329486,-0.0022074147,0.29043984
