time,lt,rt,rb,w,x,y,z
1541857608696,0,0,0,0.723789,0.24655,0.134557,0.63026595
1541857608718,0,0,0,0.723789,0.245305,0.133814,0.6309099
1541857608737,0,0,0,0.723763,0.243711,0.1339,0.631539
1541857608757,0,0,0,0.724093,0.241444,0.134455,0.63191295
1541857608778,0,0,0,0.724657,0.238786,0.135356,0.632084
1541857608797,0,0,0,0.72489,0.236177,0.137079,0.632426
1541857608818,0,0,0,0.724815,0.233931,0.13935,0.63284993
1541857608838,0,0,0,0.724693,0.232312,0.140914,0.63324
1541857608857,0,0,0,0.724738,0.230774,0.141097,0.63371
1541857608877,0,0,0,0.725046,0.228929,0.140295,0.634205
1541857608899,0,0,0,0.725312,0.2263,0.139774,0.634959
1541857608917,0,0,0,0.72536,0.222817,0.140497,0.635975
1541857608937,0,0,0,0.725226,0.219058,0.142276,0.63703704
1541857608959,0,0,0,0.724853,0.215777,0.144027,0.63818693
1541857608979,0,0,0,0.72434,0.212941,0.145467,0.63939404
1541857608997,0,0,0,0.723949,0.210104,0.146912,0.640445
1541857609018,0,0,0,0.723828,0.207166,0.148466,0.64118004
1541857609037,0,0,0,0.72354,0.203776,0.150238,0.64217806
1541857609057,0,0,0,0.722808,0.199881,0.15253,0.64368296
1541857609078,0,0,0,0.721553,0.196109,0.154897,0.645684
1541857609096,0,0,0,0.720092,0.193579,0.156524,0.647683
1541857609117,0,0,0,0.718906,0.192503,0.157402,0.649107
1541857609138,0,0,0,0.71843,0.191719,0.157953,0.6497309
1541857609157,0,0,0,0.718567,0.190838,0.157393,0.64997506
1541857609177,0,0,0,0.718619,0.189938,0.156141,0.650483
1541857609202,0,0,0,0.718445,0.188982,0.155009,0.651225
1541857609220,0,0,0,0.71829,0.188569,0.154225,0.651701
1541857609239,0,0,0,0.718258,0.188567,0.15394,0.6518049
1541857609261,0,0,0,0.718183,0.188753,0.154087,0.651798
1541857609283,0,0,0,0.718016,0.188992,0.154403,0.651839
1541857609302,0,0,0,0.717968,0.189385,0.1542,0.65182495
1541857609321,0,0,0,0.718149,0.189379,0.153608,0.651767
1541857609339,0,0,0,0.718447,0.188781,0.153015,0.651752
1541857609361,0,0,0,0.718803,0.18799,0.152685,0.6516659
