time,lt,rt,rb,w,x,y,z
1541856226941,0,0,0,0.9779708385467529,0.195173442363739,0.005474426783621311,-0.07382669299840927
1541856226952,0,0,0,0.9779463410377502,0.19528648257255554,0.0053341626189649105,-0.07386291772127151
1541856226976,0,0,0,0.9779770970344543,0.1950889527797699,0.005051420070230961,-0.0739973708987236
1541856226998,0,0,0,0.977961540222168,0.1951746791601181,0.00524974474683404,-0.07396320253610611
1541856227014,0,0,0,0.9779504537582397,0.1952495276927948,0.005195392295718193,-0.07391567528247833
1541856227040,0,0,0,0.9779616594314575,0.19519150257110596,0.005177350249141455,-0.07392232120037079
1541856227061,0,0,0,0.977942943572998,0.195285364985466,0.005160759203135967,-0.07392250746488571
1541856227086,0,0,0,0.9779369831085205,0.19531996548175812,0.005157616920769215,-0.0739104226231575
1541856227108,0,0,0,0.9779343008995056,0.1953113079071045,0.005178396590054035,-0.07396754622459412
1541856227129,0,0,0,0.9779084324836731,0.1954323649406433,0.005170227028429508,-0.07398997992277145
1541856227150,0,0,0,0.9779221415519714,0.19536925852298737,0.00524597754701972,-0.07397031038999557
1541856227173,0,0,0,0.9779195189476013,0.1953558623790741,0.005215375684201717,-0.07404230535030365
1541856227197,0,0,0,0.9778891205787659,0.19549982249736786,0.005161110777407885,-0.07406753301620483
1541856227219,0,0,0,0.9779038429260254,0.19541113078594208,0.00530611164867878,-0.07409701496362686
1541856227236,0,0,0,0.977899432182312,0.19541937112808228,0.005284088663756847,-0.07413534820079803
1541856227268,0,0,0,0.9778858423233032,0.1955084353685379,0.005160305183380842,-0.07408866286277771
1541856227286,0,0,0,0.9779036641120911,0.1954134702682495,0.005304710008203983,-0.07409389317035675
1541856227312,0,0,0,0.9778889417648315,0.19545559585094452,0.005375197622925043,-0.07417172193527222
1541856227333,0,0,0,0.9777343273162842,0.19606934487819672,0.006806605029851198,-0.07447190582752228
1541856227359,0,0,0,0.9777380228042603,0.19602066278457642,0.006724347826093435,-0.07455935329198837
1541856227376,0,0,0,0.9776874780654907,0.19623452425003052,0.0066446103155612946,-0.07466652989387512
1541856227395,0,0,0,0.9776514768600464,0.19636745750904083,0.00656982883810997,-0.07479497790336609
1541856227416,0,0,0,0.9776602983474731,0.1962542086839676,0.006469150073826313,-0.07498538494110107
1541856227441,0,0,0,0.9776254892349243,0.19638915359973907,0.006373327225446701,-0.07509369403123856
1541856227462,0,0,0,0.9775899648666382,0.19654373824596405,0.0062210108153522015,-0.07516461610794067
1541856227484,0,0,0,0.9775417447090149,0.19703353941440582,0.0034331968054175377,-0.07468657195568085
1541856227504,0,0,0,0.9775023460388184,0.19720947742462158,0.0032900404185056686,-0.07474435120820999
1541856227524,0,0,0,0.9774439334869385,0.19749900698661804,0.003050320316106081,-0.07475390285253525
1541856227551,0,0,0,0.9773975610733032,0.19773799180984497,0.002912287600338459,-0.07473406940698624
1541856227567,0,0,0,0.9776082634925842,0.19665390253067017,0.003147898009046912,-0.07482923567295074
1541856227594,0,0,0,0.9776211380958557,0.19661913812160492,0.0028780968859791756,-0.07476326823234558
1541856227617,0,0,0,0.9776044487953186,0.19662883877754211,0.003377041779458523,-0.07493510842323303
1541856227639,0,0,0,0.9775806665420532,0.19671909511089325,0.003262651851400733,-0.07501327991485596
1541856227655,0,0,0,0.9775256514549255,0.196950763463974,0.003507630666717887,-0.07511129230260849
1541856227681,0,0,0,0.9774957299232483,0.19710998237133026,0.002906803973019123,-0.07510879635810852
1541856227702,0,0,0,0.9774739146232605,0.1972217559814453,0.002868917305022478,-0.07510076463222504
1541856227727,0,0,0,0.977471649646759,0.19722463190555573,0.002864125417545438,-0.07512293010950089
1541856227749,0,0,0,0.9774666428565979,0.19724220037460327,0.0028338017873466015,-0.07514320313930511
