time,lt,rt,rb,x,y,z
1541858957315,0,0,0,0.437203,0.87001085,-0.7452822
1541858957336,0,0,0,0.4328245,0.8681836,-0.7443838
1541858957357,0,0,0,0.42340595,0.8424921,-0.7300701
1541858957378,0,0,0,0.42579985,0.834043,-0.7251768
1541858957400,0,0,0,0.436813,0.84603596,-0.7316818
1541858957419,0,0,0,0.4401971,0.8579006,-0.7383232
1541858957440,0,0,0,0.43500417,0.8569274,-0.73793125
1541858957463,0,0,0,0.4293304,0.84699917,-0.7324619
1541858957482,0,0,0,0.42359006,0.84152746,-0.72951317
1541858957505,0,0,0,0.41793323,0.8386345,-0.72802925
1541858957526,0,0,0,0.4144296,0.83406067,-0.72552013
1541858957545,0,0,0,0.41652775,0.8290467,-0.72259045
1541858957568,0,0,0,0.39867017,0.8196697,-0.7177172
1541858957590,0,0,0,0.36803493,0.8023982,-0.7085571
1541858957609,0,0,0,0.28176418,0.7643404,-0.68808365
1541858957630,0,0,0,0.17059849,0.7066927,-0.6549959
1541858957653,0,0,0,0.091459624,0.64630127,-0.6186218
1541858957672,0,0,0,0.08527436,0.62128115,-0.60347176
1541858957693,0,0,0,0.13151619,0.6261511,-0.6067562
1541858957715,0,0,0,0.18542108,0.63119936,-0.60988045
1541858957735,0,0,0,0.23059279,0.621994,-0.6041117
1541858957756,0,0,0,0.258383,0.5909333,-0.5849943
1541858957778,0,0,0,0.26715186,0.55155087,-0.5607424
1541858957802,0,0,0,0.2836085,0.5228405,-0.54276085
1541858957824,0,0,0,0.30278283,0.5132022,-0.536479
1541858957847,0,0,0,0.31545734,0.51392174,-0.53671837
1541858957867,0,0,0,0.33455616,0.51831293,-0.539094
1541858957891,0,0,0,0.36138368,0.5246682,-0.5424738
1541858957910,0,0,0,0.35922897,0.5350399,-0.548954
1541858957932,0,0,0,0.32527643,0.54583454,-0.55633354
1541858957950,0,0,0,0.30425423,0.58273697,-0.5793781
1541858957972,0,0,0,0.28130108,0.6581068,-0.62533665
1541858957992,0,0,0,0.25428215,0.71968174,-0.662241
1541858958016,0,0,0,0.24551827,0.7507849,-0.6805773
1541858958035,0,0,0,0.25363714,0.79325724,-0.70517635
1541858958052,0,0,0,0.27920368,0.85032654,-0.7376013
1541858958075,0,0,0,0.32126307,0.8882861,-0.75843716
1541858958098,0,0,0,0.36627144,0.9402232,-0.7865534
1541858958118,0,0,0,0.5728983,1.2106895,-0.9240818
1541858958136,0,0,0,1.0430266,1.8535473,-1.1929884
1541858958160,0,0,0,1.2833872,2.5165846,-1.4228878
1541858958182,0,0,0,1.2612108,2.9784293,-1.5723181
1541858958199,0,0,0,1.1222864,3.0974603,-1.6211967
1541858958221,0,0,0,1.1205332,2.9665785,-1.5842047
1541858958242,0,0,0,1.1910684,2.6723106,-1.485858
1541858958262,0,0,0,1.1860348,2.262317,-1.3424292
1541858958284,0,0,0,1.1943603,1.8719866,-1.1848707
1541858958303,0,0,0,1.1503444,1.7433884,-1.1338711
1541858958326,0,0,0,1.1748985,1.8139436,-1.1620979
1541858958347,0,0,0,1.1267011,1.8995013,-1.2040157
1541858958367,0,0,0,1.0233383,1.9119809,-1.2196712
1541858958387,0,0,0,0.9587595,1.8609631,-1.2039509
1541858958412,0,0,0,0.94846785,1.7727141,-1.1666689
1541858958436,0,0,0,0.95282173,1.6826019,-1.1262321
1541858958452,0,0,0,0.93647057,1.6088772,-1.0940723
1541858958475,0,0,0,0.90776116,1.543654,-1.0661831
1541858958494,0,0,0,0.88825953,1.4798312,-1.0375576
1541858958516,0,0,0,0.8703608,1.4092407,-1.0049038
1541858958536,0,0,0,0.85662776,1.3300939,-0.96693325
1541858958555,0,0,0,0.8600759,1.2476349,-0.9250221
1541858958579,0,0,0,0.86245215,1.1632023,-0.8811741
1541858958601,0,0,0,0.85315084,1.0901175,-0.84327984
1541858958617,0,0,0,0.8412842,1.0473299,-0.8212271
1541858958641,0,0,0,0.83937263,1.0455866,-0.8204346
1541858958662,0,0,0,0.8763162,1.1075473,-0.8507023
1541858958684,0,0,0,0.9482311,1.2311568,-0.9091444
1541858958702,0,0,0,1.0253859,1.3893952,-0.9814491
1541858958727,0,0,0,1.1008284,1.5528502,-1.0522861
1541858958745,0,0,0,1.1457797,1.6983199,-1.114255
1541858958767,0,0,0,1.145836,1.8107033,-1.163908
1541858958788,0,0,0,1.1235646,1.8757236,-1.1942635
1541858958808,0,0,0,1.0881773,1.8988605,-1.2077608
1541858958828,0,0,0,1.0421022,1.8792825,-1.2040539
1541858958851,0,0,0,0.9918954,1.829062,-1.187294
1541858958869,0,0,0,0.9436978,1.7784925,-1.1696138
1541858958890,0,0,0,0.9011173,1.7536757,-1.1622925
1541858958913,0,0,0,0.8804129,1.7624171,-1.1678066
1541858958935,0,0,0,0.86682457,1.7819481,-1.177434
1541858958952,0,0,0,0.85013527,1.8025653,-1.1876945
1541858958978,0,0,0,0.85755736,1.8277099,-1.1980038
1541858959000,0,0,0,0.8736339,1.8565626,-1.209137
1541858959018,0,0,0,0.8827493,1.8827224,-1.2195473
1541858959040,0,0,0,0.8925133,1.906065,-1.2286234
1541858959061,0,0,0,0.89971805,1.9285605,-1.2374754
1541858959079,0,0,0,0.9017523,1.9487767,-1.2457294
1541858959103,0,0,0,0.90582985,1.9658735,-1.2524767
1541858959121,0,0,0,0.91936296,1.980464,-1.2573767
1541858959143,0,0,0,0.93477136,1.9896936,-1.2598763
1541858959164,0,0,0,0.9573326,1.997705,-1.2612219
1541858959184,0,0,0,0.97396,2.0047023,-1.26262
1541858959205,0,0,0,0.9727468,2.009055,-1.2645016
1541858959229,0,0,0,0.9707777,2.009861,-1.2650061
1541858959249,0,0,0,0.96680045,2.0073903,-1.264349
1541858959268,0,0,0,0.9529717,2.0024855,-1.2635546
1541858959291,0,0,0,0.9367321,1.9982293,-1.2632055
1541858959311,0,0,0,0.92448705,1.9959965,-1.2633219
1541858959332,0,0,0,0.9146206,1.9926083,-1.2627516
1541858959352,0,0,0,0.9055587,1.9876056,-1.2614441
1541858959373,0,0,0,0.90056705,1.9863577,-1.2613363
1541858959394,0,0,0,0.8968415,1.9863994,-1.261652
1541858959418,0,0,0,0.9021894,1.9867849,-1.2613792
1541858959435,0,0,0,0.9125995,1.9917119,-1.2625504
1541858959458,0,0,0,0.9178265,1.9977152,-1.2645769
1541858959479,0,0,0,0.92327595,2.0006855,-1.2653389
1541858959498,0,0,0,0.928813,2.0024192,-1.265584
1541858959518,0,0,0,0.9354529,2.0024726,-1.265048
1541858959545,0,0,0,0.9465184,1.9981835,-1.262351
1541858959567,0,0,0,0.96030474,1.9933975,-1.2591991
1541858959583,0,0,0,0.96614224,1.9909167,-1.2576714
1541858959605,0,0,0,0.96908414,1.9895487,-1.2568502
1541858959626,0,0,0,0.97073984,1.9876735,-1.2559347
1541858959647,0,0,0,0.9692996,1.984247,-1.2546558
1541858959669,0,0,0,0.9711209,1.9779005,-1.2518845
1541858959687,0,0,0,0.97086143,1.97539,-1.2508736
1541858959710,0,0,0,0.96445876,1.9766188,-1.2519445
1541858959730,0,0,0,0.9586618,1.9806943,-1.2541294
1541858959751,0,0,0,0.9514358,1.9875784,-1.2575855
1541858959772,0,0,0,0.94588894,1.9946477,-1.2609587
1541858959797,0,0,0,0.9437912,2.000683,-1.263608
1541858959817,0,0,0,0.94652426,2.0081081,-1.2664032
1541858959835,0,0,0,0.9454346,2.0178223,-1.2704515
1541858959859,0,0,0,0.9531251,2.0242863,-1.2724133
1541858959877,0,0,0,0.967277,2.02722,-1.2723675
1541858959897,0,0,0,0.97558725,2.0283585,-1.2720957
1541858959919,0,0,0,0.9859669,2.0293882,-1.2715826
1541858959941,0,0,0,0.9968798,2.0336533,-1.2723198
1541858959967,0,0,0,0.9962462,2.0413816,-1.2755013
1541858959984,0,0,0,0.98844063,2.0465488,-1.2782917
1541858960002,0,0,0,0.98606163,2.0429888,-1.277072
1541858960024,0,0,0,0.9831671,2.0303936,-1.2722425
1541858960047,0,0,0,0.97854227,2.0150182,-1.2664156
1541858960066,0,0,0,0.98167306,2.0067203,-1.2627544
1541858960086,0,0,0,0.98254544,2.0093558,-1.263751
1541858960110,0,0,0,0.98491377,2.016051,-1.266263
1541858960128,0,0,0,0.98738205,2.0169907,-1.2664232
1541858960151,0,0,0,0.98142487,2.008684,-1.2635765
1541858960174,0,0,0,0.97010744,1.9914591,-1.2575426
1541858960193,0,0,0,0.96776235,1.9658709,-1.24722
1541858960213,0,0,0,0.9749205,1.9319425,-1.2324905
1541858960234,0,0,0,0.9788589,1.8936813,-1.2160625
1541858960253,0,0,0,0.99053615,1.8486745,-1.1958494
1541858960275,0,0,0,1.0133791,1.7927732,-1.1695623
1541858960296,0,0,0,1.0312047,1.7336166,-1.1418295
1541858960316,0,0,0,1.0432382,1.6714678,-1.1127977
1541858960336,0,0,0,1.0543164,1.6006231,-1.079299
1541858960361,0,0,0,1.0611151,1.5210094,-1.0413828
1541858960379,0,0,0,1.0687168,1.4327102,-0.9982805
1541858960404,0,0,0,1.0702308,1.3464098,-0.9556923
1541858960423,0,0,0,1.0612863,1.2619481,-0.914052
1541858960443,0,0,0,1.044946,1.1731286,-0.869854
1541858960463,0,0,0,1.0187831,1.0801082,-0.82320404
1541858960484,0,0,0,0.9849467,0.9867549,-0.77576065
1541858960503,0,0,0,0.94817716,0.905808,-0.73415375
1541858960527,0,0,0,0.90808314,0.8383503,-0.69943714
1541858960548,0,0,0,0.86541235,0.77777195,-0.66807175
1541858960568,0,0,0,0.8243556,0.73116684,-0.64406204
1541858960589,0,0,0,0.8116607,0.7100854,-0.6325836
1541858960612,0,0,0,0.8240535,0.7147527,-0.6343918
1541858960634,0,0,0,0.84928083,0.72368526,-0.63767624
1541858960656,0,0,0,0.8838456,0.728117,-0.63743496
1541858960673,0,0,0,0.9182004,0.7274842,-0.634079
1541858960693,0,0,0,0.9534074,0.71867085,-0.6256647
1541858960713,0,0,0,0.9836688,0.7021642,-0.6129961
1541858960738,0,0,0,1.0090047,0.6754484,-0.5945473
1541858960758,0,0,0,1.0204507,0.64703226,-0.57629395
1541858960780,0,0,0,1.0158559,0.62187624,-0.56151485
1541858960801,0,0,0,0.9933834,0.6028285,-0.5521517
1541858960817,0,0,0,0.98151076,0.57693005,-0.53743553
1541858960840,0,0,0,0.9778978,0.5407791,-0.5154362
1541858960863,0,0,0,0.97026193,0.5068455,-0.49499607
1541858960884,0,0,0,0.9639035,0.47923422,-0.47823906
1541858960904,0,0,0,0.95415676,0.46254396,-0.46860504
1541858960927,0,0,0,0.94463104,0.455328,-0.4649248
1541858960944,0,0,0,0.92631066,0.4538393,-0.4656763
1541858960967,0,0,0,0.9087856,0.44244623,-0.4600134
1541858960987,0,0,0,0.8887361,0.42176867,-0.4485712
1541858961008,0,0,0,0.87217814,0.39935017,-0.4355955
1541858961031,0,0,0,0.8635468,0.38988018,-0.43021584
1541858961052,0,0,0,0.86127925,0.39427662,-0.43324757
1541858961071,0,0,0,0.86450213,0.40660763,-0.44092083
1541858961093,0,0,0,0.8770741,0.42109585,-0.449152
1541858961114,0,0,0,0.89695865,0.43788767,-0.45815945
1541858961137,0,0,0,0.9173608,0.4598322,-0.47029972
1541858961163,0,0,0,0.9326783,0.4790187,-0.48104286
1541858961180,0,0,0,0.9451817,0.48833466,-0.48575306
1541858961199,0,0,0,0.95345455,0.48633766,-0.48371506
1541858961221,0,0,0,0.9531607,0.47985554,-0.47965527
1541858961241,0,0,0,0.9602007,0.47946978,-0.4787407
1541858961259,0,0,0,0.9680381,0.48743105,-0.48301125
1541858961280,0,0,0,0.97509587,0.49591112,-0.48766613
1541858961301,0,0,0,0.98382777,0.4990902,-0.48880768
1541858961320,0,0,0,0.99133104,0.49732637,-0.4869566
1541858961343,0,0,0,0.9978672,0.49415302,-0.4843111
1541858961364,0,0,0,1.0019962,0.49047232,-0.48157883
1541858961384,0,0,0,0.9982842,0.4833436,-0.47745705
1541858961407,0,0,0,0.98724407,0.47355175,-0.47237015
1541858961429,0,0,0,0.97774535,0.45984507,-0.46461678
1541858961452,0,0,0,0.9638105,0.4477477,-0.4582796
1541858961469,0,0,0,0.95570207,0.4401741,-0.4542265
1541858961491,0,0,0,0.9536944,0.43667078,-0.45218086
1541858961511,0,0,0,0.95798653,0.4353404,-0.45092392
1541858961534,0,0,0,0.96723044,0.43336916,-0.44877148
1541858961553,0,0,0,0.97791386,0.43164778,-0.44663048
1541858961574,0,0,0,0.9883607,0.43358517,-0.44683933
1541858961596,0,0,0,0.99935377,0.4419818,-0.4511013
1541858961617,0,0,0,1.0085955,0.45427275,-0.45799637
1541858961636,0,0,0,1.017433,0.45878887,-0.4599638
1541858961659,0,0,0,1.0253725,0.45447302,-0.45640182
1541858961680,0,0,0,1.0318255,0.45810843,-0.45804024
1541858961700,0,0,0,1.037538,0.46668863,-0.46289062
1541858961720,0,0,0,1.0355264,0.46962643,-0.4649639
1541858961745,0,0,0,1.0309157,0.4613104,-0.4601717
1541858961762,0,0,0,1.0270346,0.44663143,-0.45123768
