time_tick,lac_X_value,lac_Y_value,lac_Z_value
4.898634,0.731057,-0.477039,-0.952610
4.928663,0.357488,0.311000,-0.689454
4.963636,-0.777534,-0.386217,0.015190
4.998667,-0.337702,-0.903348,-0.870377
5.028665,-3.478324,0.246147,0.400043
5.063669,1.799235,1.442506,-0.247725
5.098703,1.136271,0.653507,1.520325
5.128702,-1.729775,0.175978,0.565361
5.163675,-0.784537,-0.660189,-0.268302
5.198709,-0.362063,0.539502,-0.674776
5.228708,2.343318,0.065070,-0.136265
5.263712,-0.782886,0.062733,-0.143294
5.298746,-0.091019,0.202967,-0.425789
5.328745,-0.218341,-0.221175,0.697433
5.363718,1.592948,0.063724,0.035176
5.398752,-0.231885,-0.011306,-0.270817
5.428781,-0.051520,0.052488,-0.413262
5.463754,0.217804,-0.061454,1.193676
5.498789,-0.022334,0.017407,-0.234017
5.533762,-0.222442,-0.030534,-0.041422
5.563761,-0.736871,-0.102685,-0.923202
5.598795,-0.285138,0.072309,0.082329
5.628824,0.030762,-0.075830,0.002013
5.663797,0.021324,-0.011996,-0.057622
5.698831,-0.149085,0.160359,0.000962
5.728830,-0.336308,-0.116007,-0.145307
5.763834,-0.210423,0.025155,-0.296024
5.798868,-0.349708,0.172650,0.238980
5.828867,-0.089894,0.018021,-0.011182
5.863840,-0.074702,0.156387,0.112085
5.898874,-0.067127,0.011086,0.086761
5.928873,-0.218876,0.167012,0.163540
5.963877,-0.400817,-0.047003,0.032691
5.998897,-0.255938,-0.127290,-0.198174
6.028896,-0.063718,0.135865,-0.184769
6.063869,-0.102253,-0.043823,0.053782
6.098903,-0.108612,0.078288,0.103508
6.128932,-0.292839,0.146617,0.205355
6.163905,-0.267011,-0.156797,-0.300114
6.198939,-0.152585,-0.020616,-0.301969
6.228938,-0.054703,0.112666,-0.094623
6.263942,-0.127120,0.135508,0.207121
6.298946,-0.062783,-0.010403,0.143298
6.328975,-0.395988,0.160053,-0.235375
6.363948,-0.142949,-0.059986,-0.339716
6.398982,-0.092275,-0.109166,-0.378511
6.428981,0.003280,-0.062452,-0.170309
6.463985,0.030381,0.112267,0.088562
6.499019,-0.194180,0.102411,0.047598
6.529018,-0.351145,-0.044800,-0.184846
6.563991,-0.190426,-0.029996,-0.290156
6.599025,-0.185278,-0.019858,-0.192208
6.629024,0.038181,0.077531,0.075057
6.664027,-0.186552,0.034912,0.257428
6.694026,-0.202635,-0.161004,0.055098
6.729060,-0.169731,-0.127065,0.053800
6.764033,-0.152475,0.014678,-0.307936
6.799068,-0.191168,0.007601,-0.326965
6.829097,-0.052543,0.097838,-0.107158
6.864070,-0.287415,-0.012495,0.146756
6.894069,-0.287112,0.010388,-0.143329
6.929103,-0.223203,-0.144583,-0.209636
6.964107,-0.143754,-0.013158,-0.428439
6.994115,-0.079813,0.202403,-0.076089
7.029150,0.095891,0.303723,0.010666
7.064123,-0.293700,-0.007733,0.168223
7.094122,-0.234510,-0.131657,-0.212190
7.129156,-0.271439,-0.157447,-0.220641
7.164159,0.047062,-0.000461,-0.166605
7.194158,-0.115069,0.032753,0.116244
7.229192,-0.201724,0.031398,0.140898
7.264166,-0.276168,-0.042213,-0.036489
7.294195,-0.214239,0.007611,-0.363519
7.329198,-0.151681,-0.044433,-0.361679
7.364202,-0.063034,0.096346,-0.010784
7.394201,-0.137067,0.160127,-0.012726
7.429235,-0.235198,0.061293,0.079725
7.464208,-0.273959,-0.078807,-0.263403
7.494238,-0.079869,0.015051,-0.166344
7.529272,-0.074373,0.062360,-0.194062
7.564245,-0.098802,-0.035195,-0.062270
7.594244,-0.231976,0.062440,0.016941
7.629278,-0.283632,-0.054249,0.044028
7.664281,-0.135008,-0.041069,-0.314019
7.699285,-0.125226,0.078777,-0.357761
7.729314,-0.091690,0.120744,-0.175712
7.764288,-0.155218,0.051917,0.098865
7.794286,-0.306786,-0.062219,-0.104736
7.829321,-0.203803,-0.099297,-0.098529
7.864324,-0.039502,0.069492,-0.384826
7.894323,-0.037025,0.099604,-0.031149
7.929357,-0.083223,0.014975,0.002757
7.964330,-0.325319,0.146854,0.349474
7.994372,-0.174029,-0.176019,0.048645
8.029375,-0.201281,-0.098481,-0.192326
8.064379,-0.158810,0.056508,-0.311142
8.094378,-0.041625,0.095301,-0.054171
8.129412,-0.057751,0.156113,-0.106057
8.164385,-0.252669,-0.044830,0.100481
8.199419,-0.194922,-0.036440,0.143452
8.229449,-0.167692,-0.087489,-0.288472
8.264422,-0.127049,0.152840,-0.213450
8.294420,-0.090287,0.173920,0.074964
8.329455,-0.037256,-0.008234,0.056228
8.364458,-0.211977,-0.006183,0.183692
8.394457,-0.133288,-0.157149,-0.172138
8.429491,-0.184077,-0.077910,-0.160930
8.464464,-0.205241,-0.020491,-0.281854
8.494463,-0.054554,0.058704,-0.129248
8.529497,-0.233342,0.044623,-0.294133
8.564501,-0.120665,0.078789,-0.043434
8.594500,-0.077582,0.026347,0.084005
8.629534,-0.126988,0.064023,0.112368
8.664507,-0.187805,-0.022951,-0.091483
8.694536,-0.091925,-0.045835,-0.164004
8.729540,-0.182454,-0.105476,-0.207619
8.764544,-0.086464,-0.032428,-0.186093
8.794543,-0.090688,-0.001893,0.013822
8.829577,-0.171723,0.007645,-0.020927
8.864550,-0.164558,-0.010640,0.086680
8.894579,-0.152778,0.008282,0.031220
8.929613,-0.111087,0.072423,-0.002863
8.964586,-0.162300,0.087403,-0.090746
8.994576,-0.158119,0.070285,-0.125201
9.029610,-0.139200,0.039415,-0.180520
9.064614,-0.178683,-0.026281,-0.193335
9.094613,-0.133922,0.003332,-0.157684
9.129647,-0.099018,-0.010790,-0.089861
9.164620,-0.055606,0.050108,-0.112444
9.194619,-0.090149,0.007303,-0.081853
9.229653,-0.119500,-0.032590,-0.101176
9.264657,-0.136422,0.026698,-0.082878
9.294656,-0.126529,0.013425,-0.137219
9.329690,-0.138244,0.083004,-0.091339
9.364663,-0.053290,0.024483,-0.059402
9.394692,-0.145388,0.069768,-0.135643
9.429726,-0.097483,0.047499,-0.076235
9.464700,-0.060275,0.033439,-0.033220
9.494698,-0.067613,0.030805,-0.093245
9.529732,-0.114441,-0.017457,-0.065008
9.564706,-0.144321,-0.033021,-0.083230
9.594735,-0.111090,-0.003605,-0.098816
9.629769,-0.076241,-0.009456,-0.088783
9.664742,-0.097100,0.040185,-0.089312
9.694741,-0.053046,0.059603,-0.093570
9.729775,-0.102925,0.055007,-0.031272
9.764779,-0.083421,0.019366,-0.103598
9.794778,-0.097072,0.045884,-0.161053
9.829812,-0.148323,-0.013564,-0.103358
9.864785,-0.116508,0.006756,-0.081506
9.894814,-0.119179,-0.030672,-0.026912
9.929818,-0.147372,-0.053501,0.013357
9.964822,-0.105238,-0.015651,-0.014912
9.994836,-0.130995,-0.037301,-0.013010
10.029871,-0.118060,0.018225,-0.092412
10.064844,-0.167929,0.015581,-0.039638
10.094873,-0.121211,0.042493,-0.117210
10.129907,-0.137844,0.104975,-0.200681
10.164880,-0.111934,0.040768,-0.232669
10.194879,-0.099146,0.055129,-0.178344
10.229913,-0.012798,0.107480,-0.114322
10.264917,-0.017553,0.029643,-0.131961
10.294916,-0.087665,0.033996,-0.145710
10.329950,-0.035078,-0.037885,-0.117905
10.364923,-0.116628,0.011022,-0.034811
10.394922,-0.070141,-0.011214,-0.124007
10.429956,-0.131330,0.068176,-0.042081
10.464960,-0.117995,0.021506,-0.105472
10.494958,-0.212508,-0.056597,-0.115741
10.529993,-0.140132,-0.004994,-0.108321
10.564966,-0.134662,0.019829,-0.223970
10.594995,-0.018923,0.134516,-0.048501
10.630029,-0.178447,0.173430,0.004971
10.665002,-0.240718,0.031716,0.120508
10.695001,-0.181078,0.015021,-0.171070
10.730035,-0.063525,-0.026472,-0.206976
10.765008,-0.006771,-0.137565,-0.333112
10.795038,0.021253,0.049002,-0.039271
10.830072,-0.139114,-0.014581,-0.080403
10.865045,-0.104650,0.072273,0.090345
10.895044,-0.150656,0.130645,-0.103056
10.930078,-0.091489,0.091976,-0.189729
10.965082,-0.099729,0.103269,-0.221535
10.995085,-0.126150,-0.064084,-0.139010
11.030119,0.049113,0.023078,-0.226247
11.065092,0.246885,-0.155453,-0.150965
11.095091,0.344137,0.059060,-0.255647
11.130125,0.198912,0.009992,-0.319938
11.165128,0.349722,0.047776,-0.190366
11.195127,0.233294,0.053930,-0.172386
11.230161,0.294916,0.063839,-0.188913
11.265135,0.274970,0.016006,-0.153115
11.295164,0.196117,-0.033329,-0.251076
11.330198,0.224254,0.015219,-0.228090
11.365171,0.137596,0.010355,-0.175592
11.395170,0.079097,-0.025411,-0.156587
11.430204,0.081521,0.040409,-0.175064
11.465208,0.108490,-0.059091,-0.224834
11.495207,0.155449,-0.034324,-0.283220
11.530241,0.165575,-0.027810,-0.322668
11.565214,0.227947,0.001605,-0.297236
11.595213,0.323141,0.067795,-0.194960
11.630247,0.340752,0.046281,-0.256598
11.665251,0.370635,0.079163,-0.200242
11.695249,0.289587,-0.004551,-0.131771
11.730283,0.300555,-0.001479,-0.177949
11.765257,0.181913,0.041708,-0.164726
11.795286,0.134773,-0.009525,-0.203853
11.830320,0.122169,-0.005488,-0.165461
11.865293,0.147117,0.003234,-0.326175
11.895292,0.211596,0.014744,-0.219117
11.930326,0.181173,0.029666,-0.275055
11.965299,0.212084,0.122704,-0.092111
11.995318,0.198693,0.035813,-0.031641
12.030352,0.247295,0.057975,0.029047
12.065325,0.102982,-0.027912,-0.160827
12.095324,0.024104,-0.123790,-0.413375
12.130358,-0.019623,-0.105432,-0.341654
12.165362,0.090900,-0.022231,-0.520273
12.195360,0.285839,0.191839,-0.161549
12.230395,0.298976,0.127323,-0.291357
12.265368,0.256954,0.118745,-0.031775
12.295397,0.112064,0.026931,-0.051153
12.330401,0.186743,0.039859,-0.060804
12.365404,0.071807,-0.014126,-0.336698
12.395403,0.150202,-0.041372,-0.443842
12.430437,0.075736,-0.141460,-0.404241
12.465410,0.174117,0.027501,-0.345766
12.495440,0.257533,0.094048,-0.087066
12.530474,0.280636,0.132075,-0.132127
12.565447,0.203972,0.074643,-0.043649
12.595446,0.083598,-0.004476,-0.113500
12.630480,0.083856,-0.001980,-0.137017
12.665484,0.048707,-0.079927,-0.382912
12.695482,0.136505,0.026221,-0.375236
12.730517,0.071598,-0.076183,-0.387329
12.765490,0.209104,0.118393,-0.200683
12.795489,0.227639,0.063713,-0.015312
12.830523,0.259206,0.073794,-0.080608
12.865526,0.100922,-0.003382,-0.058251
12.895525,-0.047622,-0.069618,-0.152621
12.930559,-0.006193,-0.040214,-0.162937
12.965532,0.069705,-0.081246,-0.390659
12.995584,0.204356,0.090126,-0.226725
13.030618,0.110463,0.017952,-0.321968
13.065591,0.130949,0.082996,-0.105165
13.095590,0.090611,0.002723,-0.038328
13.130624,0.162968,0.031775,-0.061316
13.165628,-0.006197,-0.000069,-0.245963
13.195627,-0.053550,0.013983,-0.402931
13.230661,-0.121514,0.012604,-0.415593
13.265634,0.022214,0.030531,-0.397912
13.295633,0.068728,0.134400,-0.037118
13.330667,-0.007942,0.103526,-0.175359
13.365670,-0.043029,0.119443,0.069593
13.395669,-0.195872,-0.021460,0.071388
13.430703,-0.197427,-0.008004,0.035787
13.465677,-0.323297,-0.078338,-0.123789
13.495706,-0.307190,-0.038641,-0.174280
13.530710,-0.308298,-0.053112,-0.276787
13.565713,-0.142274,0.102903,-0.073802
13.595712,-0.145525,0.061931,0.012802
13.630746,-0.192866,0.084243,-0.099510
13.665719,-0.265947,-0.010312,0.018249
13.695749,-0.383015,0.052045,-0.083660
13.730783,-0.285510,0.087107,0.100788
13.765756,-0.333287,0.049357,-0.231292
13.795755,-0.206288,0.023534,-0.343099
13.830789,-0.266404,-0.023941,-0.410048
13.865793,-0.142274,0.069440,-0.097398
13.895791,-0.107945,0.065927,0.192360
13.930825,-0.040810,0.174034,0.281719
13.965799,-0.220480,-0.056019,0.183191
13.995813,-0.371260,-0.101798,-0.227116
14.030817,-0.344594,0.015152,-0.124848
14.065820,-0.266712,-0.012298,-0.249186
14.095819,-0.099196,0.087287,-0.117913
14.130853,-0.038294,0.018776,-0.259901
14.165827,0.062430,0.068963,-0.064882
14.195856,0.068915,-0.063015,-0.069072
14.230890,0.102690,0.050981,0.056668
14.265863,0.005581,-0.052914,0.018182
14.295862,-0.040092,-0.070408,-0.198304
14.330896,-0.082047,-0.059919,-0.200692
14.365900,0.005672,-0.044705,-0.417832
14.395898,0.087872,0.056581,-0.207338
14.430933,0.091725,0.091589,-0.330614
14.465906,0.161762,0.161337,0.034802
14.495904,0.100612,0.038611,0.029215
14.530940,0.068300,0.089683,0.052701
14.565942,-0.132704,-0.061674,-0.165095
14.595941,-0.128912,-0.087824,-0.451868
14.630976,-0.110137,-0.062631,-0.361504
14.665948,0.076011,0.009534,-0.341375
14.695978,0.193264,0.111827,-0.033584
14.731013,0.165531,0.095346,-0.037576
14.765985,0.136482,0.055621,0.096374
14.795985,-0.008937,-0.068433,-0.207562
14.831018,0.031436,-0.049093,-0.081530
14.866022,0.001266,-0.132691,-0.392840
14.896021,0.153763,-0.082360,-0.377530
14.931055,0.196685,-0.047763,-0.289582
14.966028,0.416075,0.047534,-0.087213
14.996044,0.352115,-0.054393,-0.077991
15.031078,0.465847,-0.137758,-0.095609
15.066081,0.269837,-0.073045,-0.121773
15.096080,0.264561,-0.126233,-0.408814
15.131114,0.221642,-0.074417,-0.330227
15.166088,0.236090,-0.049840,-0.374247
15.196117,0.365987,-0.083977,-0.205355
15.231151,0.359719,0.001795,-0.207995
15.266124,0.435744,-0.080950,-0.111689
15.296123,0.415328,-0.121988,-0.216477
15.331157,0.386922,-0.124205,-0.170788
15.366161,0.389743,-0.097056,-0.234977
15.396160,0.312063,-0.072953,-0.408698
15.431194,0.336260,-0.148019,-0.308959
15.466167,0.265256,-0.106395,-0.236338
15.496166,0.211718,-0.152770,-0.096766
15.531200,0.203178,-0.125610,-0.106740
15.566203,0.194248,-0.256443,-0.040509
15.596202,0.240969,-0.209511,-0.009157
15.631236,0.149676,-0.243823,-0.115528
15.666210,0.222497,-0.289434,-0.018272
