time_tick,lac_X_value,lac_Y_value,lac_Z_value
2.894174,-1.585430,0.569393,-0.044248
2.914254,-1.511388,0.545786,-0.231316
2.934304,-1.473712,0.523923,-0.222630
2.954354,-1.531617,0.485706,-0.031914
2.974435,-1.580018,0.520863,-0.006832
2.994485,-1.535200,0.443088,-0.068764
3.014565,-1.555952,0.502247,-0.086945
3.034616,-1.614992,0.657398,-0.126304
3.054696,-1.647020,0.585529,-0.048661
3.074746,-1.635345,0.468125,-0.137657
3.094827,-1.568249,0.478774,-0.103107
3.114877,-1.552161,0.528290,-0.088537
3.134927,-1.545852,0.480625,0.015106
3.155007,-1.658818,0.594586,-0.104265
3.175057,-1.512505,0.512047,-0.049792
3.195138,-1.466843,0.422066,0.081979
3.215204,-1.545975,0.459946,0.046896
3.235285,-1.440531,0.499047,-0.162005
3.255335,-1.540635,0.576730,-0.289672
3.275385,-1.557453,0.520812,-0.204337
3.295465,-1.547610,0.526521,-0.258443
3.315515,-1.550574,0.519170,-0.076528
3.335596,-1.600134,0.571519,-0.074873
3.355646,-1.638578,0.571495,-0.131319
3.375727,-1.650417,0.540754,-0.184513
3.395777,-1.617636,0.524134,-0.103505
3.415857,-1.593845,0.552304,-0.066066
3.435907,-1.552649,0.542386,-0.082179
3.455957,-1.566851,0.458580,-0.111253
3.476038,-1.555726,0.508718,-0.117281
3.496088,-1.554074,0.546469,-0.141524
3.516168,-1.556845,0.509982,-0.107767
3.536218,-1.485736,0.466085,-0.085540
3.556299,-1.391955,0.493366,-0.124124
3.576349,-1.419006,0.534697,-0.140681
3.596430,-1.533768,0.510274,-0.151723
3.616480,-1.539104,0.477392,-0.160054
3.636530,-1.465405,0.385990,-0.150142
3.656610,-1.510996,0.470993,-0.090778
3.676660,-1.578942,0.604215,-0.065294
3.696741,-1.555896,0.632616,-0.166662
3.716791,-1.532073,0.639414,-0.227513
3.736872,-1.500175,0.628153,-0.201489
3.756922,-1.501642,0.640249,-0.175579
3.777002,-1.508913,0.610197,-0.120341
3.797052,-1.594532,0.608413,-0.106993
3.817102,-1.770950,0.614411,-0.185508
