time_tick,lac_X_value,lac_Y_value,lac_Z_value
2.908101,0.073367,-0.004096,-0.028880
2.928050,0.021649,0.003338,-0.040096
2.947998,0.014790,-0.017269,0.016071
2.967947,0.043191,-0.040109,-0.027344
2.987895,0.010798,-0.006075,-0.010891
3.007843,-0.017337,0.011781,-0.001885
3.027792,0.003749,-0.002272,-0.002332
3.047740,-0.044229,0.004227,-0.036481
3.067689,-0.009425,0.013611,-0.077953
3.087637,0.006921,0.001829,-0.006395
3.107586,-0.008857,-0.018687,-0.000210
3.127534,-0.028697,-0.021099,0.030598
3.147483,-0.007486,-0.008117,-0.023757
3.167431,0.017494,-0.013973,-0.045155
3.187380,-0.022590,-0.012000,-0.061755
3.207328,-0.005220,-0.030634,-0.059962
3.227277,0.058708,-0.022768,-0.026933
3.247225,0.016068,0.006239,0.030508
3.267174,0.002569,0.000384,0.066168
3.287122,0.004792,-0.012577,0.005571
3.307071,0.001290,-0.024152,-0.023177
3.327019,0.029659,0.005334,-0.055669
3.346966,0.010745,-0.027458,-0.074846
3.366915,-0.012175,-0.008991,-0.062296
3.386863,0.019246,-0.005893,0.000382
3.406812,0.035511,0.000819,0.077597
3.426760,-0.007638,0.008182,0.073612
3.446709,-0.026936,-0.009780,-0.000488
3.466657,-0.038781,-0.003063,-0.094405
3.486606,-0.035801,-0.006303,-0.131849
3.506554,-0.049763,-0.001860,-0.054294
3.526503,0.015178,-0.033167,-0.011319
3.546451,0.084224,-0.028068,0.020682
3.566400,0.012180,0.003012,0.031164
3.591335,-0.009930,0.013628,0.054167
3.606297,0.023851,-0.008536,0.009924
3.626245,0.003818,-0.009674,-0.083913
3.646194,-0.012214,0.000666,-0.056491
3.666142,0.020026,-0.025741,-0.045344
3.691078,0.033158,-0.032285,0.024139
3.706039,0.035546,-0.019955,-0.019429
3.730975,0.015519,-0.009879,-0.023496
3.745936,0.004442,-0.009088,-0.028547
3.770872,-0.001606,-0.021727,0.018911
3.790820,0.009165,-0.024001,0.007209
3.805782,0.016280,-0.022139,-0.041888
3.830717,-0.014241,0.006799,-0.043686
3.845678,-0.042620,0.007160,-0.038148
3.870614,0.031309,-0.007155,-0.001941
3.890562,0.020799,0.002532,0.025893
3.905524,-0.010778,-0.032181,0.001225
3.930459,0.001238,-0.019550,-0.001455
3.945421,-0.003001,-0.016942,-0.056105
3.970356,0.016243,0.006642,-0.040001
3.990305,-0.011340,0.018226,-0.028195
4.005266,-0.001004,0.009210,0.018377
4.030202,0.064666,-0.006692,0.007197
4.050150,0.033668,-0.021211,-0.019137
4.070099,0.006551,-0.042824,-0.013125
4.090047,-0.025224,-0.047421,-0.010865
4.105009,-0.034899,-0.024786,-0.052916
4.129944,-0.023702,-0.007801,-0.049347
4.149893,-0.077533,0.003818,-0.025004
4.169841,-0.063677,0.011507,-0.035061
4.189790,0.102793,-0.009340,0.068309
4.209738,-0.022259,0.055842,-0.256946
4.229687,0.139639,-0.029520,0.199665
4.249635,0.125151,-0.044864,0.086746
4.269584,0.068610,0.004567,0.009578
4.289532,0.006307,-0.027085,-0.132683
4.309481,-0.021436,-0.054019,-0.096958
4.329429,-0.097812,-0.039632,-0.032937
4.349382,0.003001,0.034044,0.034102
4.369330,0.017397,0.019263,0.021806
4.389279,-0.020045,0.015676,0.029326
4.409227,-0.001166,0.006326,-0.010116
4.429176,0.021600,-0.014606,-0.062775
4.449124,-0.003071,-0.040361,-0.120987
4.469073,-0.002053,0.021656,-0.064443
4.489021,0.033427,0.007459,0.002575
4.508970,0.083281,0.019282,0.032981
4.528918,0.045590,0.001989,0.007898
4.548867,0.037760,-0.064843,-0.023767
4.568815,0.042614,-0.021503,0.024150
4.588764,-0.033050,-0.020034,-0.027377
4.608712,-0.069077,0.029624,-0.067670
4.628660,-0.046239,-0.005797,-0.066019
4.648609,-0.039170,-0.009736,0.017654
4.668557,-0.068037,-0.045324,-0.033624
4.688506,0.000075,0.019978,-0.067574
4.708454,0.037567,0.011386,-0.019392
4.728403,0.077113,-0.006089,0.057825
4.748351,0.046075,-0.065396,0.078197
4.768300,0.058411,-0.039584,-0.026362
4.788248,0.040143,-0.029602,-0.119596
4.808197,0.057743,-0.032720,-0.006086
4.828145,0.082851,0.021987,0.009450
4.848094,0.012817,0.049514,0.010975
4.868042,-0.067690,0.015788,-0.020252
4.887991,-0.048629,-0.016316,-0.014439
4.907939,-0.030871,-0.022465,-0.041006
4.927888,-0.031849,0.005016,-0.112660
4.947836,0.014680,-0.000568,-0.056186
4.967785,0.051618,0.008994,0.059949
4.987733,0.017482,-0.013973,0.039445
5.007682,0.007663,-0.009695,-0.026989
5.027630,-0.002058,-0.043399,-0.066595
5.047579,0.038267,-0.024547,-0.054005
5.067527,0.013498,0.006495,0.027385
5.087476,0.005094,-0.000734,0.032464
5.107424,0.034854,0.035851,0.006590
5.127373,0.000116,-0.020256,-0.009843
5.147321,-0.041487,-0.020294,0.017242
5.167270,-0.024898,0.005252,-0.062404
5.187218,-0.012561,0.006269,-0.115540
5.207167,0.038604,0.007095,-0.010940
5.227115,-0.006678,-0.011106,0.072841
5.247064,0.024062,-0.022560,0.059515
5.267012,0.059252,0.002098,-0.066178
5.286961,0.018905,-0.016726,-0.043126
5.306909,-0.036050,-0.052710,-0.008258
5.326858,-0.012683,-0.000942,0.021183
5.346802,-0.028252,-0.040900,-0.050720
5.366751,-0.009235,0.001371,-0.084556
5.391686,-0.024609,0.003551,-0.043043
5.406648,-0.021477,0.008614,0.066360
5.426596,0.023182,-0.009571,0.026695
5.446545,0.039019,-0.020253,-0.067302
5.466493,0.044475,0.003887,-0.058753
5.491429,0.012504,0.009035,-0.022954
5.506390,0.007513,-0.017221,-0.018606
5.526339,0.066989,-0.001718,-0.037026
5.546287,0.023057,-0.008059,-0.005149
5.566236,0.004212,-0.018432,0.043200
5.591171,0.034664,-0.019639,-0.001007
5.606133,0.032131,0.011987,-0.080237
5.626081,-0.044639,-0.009697,-0.075443
5.646030,-0.044652,0.001591,-0.008848
5.665978,-0.020968,-0.034190,-0.006145
5.690914,-0.010014,-0.008610,-0.019062
5.705875,-0.016895,0.017981,-0.008319
5.730811,-0.010285,-0.013098,0.022930
5.745772,0.020534,0.011217,0.001508
5.770708,-0.004532,0.025991,-0.070792
5.790656,0.041992,-0.021848,-0.075113
5.805618,0.039696,-0.011500,-0.025282
5.830553,0.006445,0.001390,0.089043
5.845515,0.020190,-0.004170,0.040391
5.870450,0.014666,0.000908,-0.033712
5.890399,-0.017613,-0.001200,-0.082180
5.905360,-0.000835,-0.015024,-0.071702
